*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 15:24:27 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2011-Oct-02 00:00:00.0000 UT      
Stop  time      : A.D. 2011-Oct-04 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2011-Oct-02 00:00:00.000      36.57351  12.93114 48.44997 230.21   3.89 236.04   3.45 340.3199     22.60 4.06905604405855 -12.9233370
 2011-Oct-02 00:05:00.000      36.57317  12.93103 48.45028 233.23   3.89 239.06   3.45 340.3198     22.60 4.06903012959199 -12.9217931
 2011-Oct-02 00:10:00.000      36.57283  12.93091 48.45058 236.26   3.89 242.08   3.45 340.3197     22.60 4.06900421822155 -12.9202491
 2011-Oct-02 00:15:00.000      36.57249  12.93079 48.45089 239.28   3.89 245.11   3.45 340.3196     22.60 4.06897830994758 -12.9187049
 2011-Oct-02 00:20:00.000      36.57216  12.93067 48.45120 242.30   3.89 248.13   3.45 340.3195     22.60 4.06895240477044 -12.9171606
 2011-Oct-02 00:25:00.000      36.57182  12.93055 48.45151 245.33   3.89 251.15   3.45 340.3194     22.60 4.06892650269050 -12.9156160
 2011-Oct-02 00:30:00.000      36.57148  12.93044 48.45182 248.35   3.89 254.17   3.45 340.3193     22.60 4.06890060370810 -12.9140713
 2011-Oct-02 00:35:00.000      36.57114  12.93032 48.45213 251.37   3.89 257.20   3.45 340.3192     22.60 4.06887470782361 -12.9125264
 2011-Oct-02 00:40:00.000      36.57080  12.93020 48.45244 254.40   3.89 260.22   3.45 340.3191     22.60 4.06884881503739 -12.9109813
 2011-Oct-02 00:45:00.000      36.57047  12.93008 48.45274 257.42   3.89 263.24   3.45 340.3190     22.60 4.06882292534980 -12.9094360
 2011-Oct-02 00:50:00.000      36.57013  12.92997 48.45305 260.44   3.89 266.26   3.45 340.3189     22.60 4.06879703876120 -12.9078906
 2011-Oct-02 00:55:00.000      36.56979  12.92985 48.45336 263.47   3.89 269.29   3.45 340.3188     22.60 4.06877115527196 -12.9063450
 2011-Oct-02 01:00:00.000      36.56945  12.92973 48.45367 266.49   3.89 272.31   3.45 340.3187     22.60 4.06874527488244 -12.9047991
 2011-Oct-02 01:05:00.000      36.56911  12.92961 48.45398 269.51   3.89 275.33   3.45 340.3186     22.60 4.06871939759300 -12.9032532
 2011-Oct-02 01:10:00.000      36.56877  12.92950 48.45428 272.54   3.89 278.35   3.45 340.3185     22.60 4.06869352340401 -12.9017070
 2011-Oct-02 01:15:00.000      36.56844  12.92938 48.45459 275.56   3.89 281.38   3.45 340.3184     22.60 4.06866765231582 -12.9001606
 2011-Oct-02 01:20:00.000      36.56810  12.92926 48.45490 278.58   3.89 284.40   3.45 340.3183     22.60 4.06864178432881 -12.8986141
 2011-Oct-02 01:25:00.000      36.56776  12.92914 48.45521 281.61   3.89 287.42   3.45 340.3182     22.60 4.06861591944335 -12.8970674
 2011-Oct-02 01:30:00.000      36.56742  12.92903 48.45552 284.63   3.89 290.44   3.45 340.3181     22.60 4.06859005765979 -12.8955205
 2011-Oct-02 01:35:00.000      36.56708  12.92891 48.45582 287.65   3.89 293.47   3.45 340.3180     22.60 4.06856419897850 -12.8939734
 2011-Oct-02 01:40:00.000      36.56674  12.92879 48.45613 290.67   3.89 296.49   3.45 340.3179     22.60 4.06853834339985 -12.8924261
 2011-Oct-02 01:45:00.000      36.56641  12.92867 48.45644 293.70   3.89 299.51   3.45 340.3178     22.60 4.06851249092422 -12.8908787
 2011-Oct-02 01:50:00.000      36.56607  12.92855 48.45675 296.72   3.89 302.53   3.45 340.3177     22.60 4.06848664155196 -12.8893310
 2011-Oct-02 01:55:00.000      36.56573  12.92844 48.45706 299.74   3.89 305.56   3.45 340.3176     22.60 4.06846079528343 -12.8877832
 2011-Oct-02 02:00:00.000      36.56539  12.92832 48.45736 302.77   3.89 308.58   3.45 340.3175     22.60 4.06843495211902 -12.8862352
 2011-Oct-02 02:05:00.000      36.56505  12.92820 48.45767 305.79   3.89 311.60   3.45 340.3175     22.60 4.06840911205909 -12.8846870
 2011-Oct-02 02:10:00.000      36.56471  12.92808 48.45798 308.81   3.89 314.62   3.45 340.3174     22.60 4.06838327510400 -12.8831387
 2011-Oct-02 02:15:00.000      36.56437  12.92797 48.45829 311.84   3.89 317.65   3.45 340.3173     22.61 4.06835744125413 -12.8815901
 2011-Oct-02 02:20:00.000      36.56403  12.92785 48.45860 314.86   3.89 320.67   3.45 340.3172     22.61 4.06833161050984 -12.8800414
 2011-Oct-02 02:25:00.000      36.56370  12.92773 48.45890 317.88   3.89 323.69   3.45 340.3171     22.61 4.06830578287149 -12.8784925
 2011-Oct-02 02:30:00.000      36.56336  12.92761 48.45921 320.91   3.89 326.71   3.45 340.3170     22.61 4.06827995833948 -12.8769434
 2011-Oct-02 02:35:00.000      36.56302  12.92749 48.45952 323.93   3.89 329.74   3.45 340.3169     22.61 4.06825413691414 -12.8753941
 2011-Oct-02 02:40:00.000      36.56268  12.92738 48.45983 326.95   3.89 332.76   3.45 340.3168     22.61 4.06822831859586 -12.8738446
 2011-Oct-02 02:45:00.000      36.56234  12.92726 48.46013 329.98   3.89 335.78   3.45 340.3167     22.61 4.06820250338500 -12.8722949
 2011-Oct-02 02:50:00.000      36.56200  12.92714 48.46044 333.00   3.89 338.80   3.45 340.3166     22.61 4.06817669128193 -12.8707451
 2011-Oct-02 02:55:00.000      36.56166  12.92702 48.46075 336.02   3.89 341.83   3.45 340.3165     22.61 4.06815088228701 -12.8691951
 2011-Oct-02 03:00:00.000      36.56132  12.92691 48.46106 339.05   3.89 344.85   3.45 340.3164     22.61 4.06812507640063 -12.8676449
 2011-Oct-02 03:05:00.000      36.56099  12.92679 48.46136 342.07   3.89 347.87   3.45 340.3163     22.61 4.06809927362313 -12.8660945
 2011-Oct-02 03:10:00.000      36.56065  12.92667 48.46167 345.09   3.89 350.89   3.45 340.3162     22.61 4.06807347395489 -12.8645439
 2011-Oct-02 03:15:00.000      36.56031  12.92655 48.46198 348.12   3.89 353.92   3.45 340.3161     22.61 4.06804767739628 -12.8629932
 2011-Oct-02 03:20:00.000      36.55997  12.92643 48.46228 351.14   3.89 356.94   3.45 340.3160     22.61 4.06802188394766 -12.8614423
 2011-Oct-02 03:25:00.000      36.55963  12.92632 48.46259 354.16   3.89 359.96   3.45 340.3159     22.61 4.06799609360939 -12.8598911
 2011-Oct-02 03:30:00.000      36.55929  12.92620 48.46290 357.18   3.89   2.98   3.45 340.3158     22.61 4.06797030638185 -12.8583398
 2011-Oct-02 03:35:00.000      36.55895  12.92608 48.46321   0.21   3.89   6.01   3.45 340.3157     22.61 4.06794452226539 -12.8567884
 2011-Oct-02 03:40:00.000      36.55861  12.92596 48.46351   3.23   3.89   9.03   3.45 340.3156     22.61 4.06791874126038 -12.8552367
 2011-Oct-02 03:45:00.000      36.55827  12.92584 48.46382   6.25   3.89  12.05   3.45 340.3155     22.61 4.06789296336718 -12.8536849
 2011-Oct-02 03:50:00.000      36.55793  12.92573 48.46413   9.28   3.89  15.07   3.45 340.3154     22.61 4.06786718858616 -12.8521328
 2011-Oct-02 03:55:00.000      36.55759  12.92561 48.46443  12.30   3.89  18.10   3.45 340.3153     22.61 4.06784141691768 -12.8505806
 2011-Oct-02 04:00:00.000      36.55725  12.92549 48.46474  15.32   3.89  21.12   3.45 340.3152     22.61 4.06781564836210 -12.8490283
 2011-Oct-02 04:05:00.000      36.55692  12.92537 48.46505  18.35   3.89  24.14   3.45 340.3151     22.61 4.06778988291978 -12.8474757
 2011-Oct-02 04:10:00.000      36.55658  12.92525 48.46536  21.37   3.89  27.16   3.45 340.3150     22.61 4.06776412059109 -12.8459230
 2011-Oct-02 04:15:00.000      36.55624  12.92514 48.46566  24.39   3.89  30.19   3.45 340.3149     22.61 4.06773836137637 -12.8443700
