*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 15:33:46 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Apr-12 00:00:00.0000 UT      
Stop  time      : A.D. 2014-Apr-14 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2014-Apr-12 00:00:00.000     103.40367  23.15086 37.19292 144.86   1.76 133.96   1.45   6.6296     17.38 5.30062290794013  27.5430120
 2014-Apr-12 00:05:00.000     103.40407  23.15083 37.19253 147.88   1.76 136.99   1.45   6.6297     17.38 5.30067814212857  27.5427653
 2014-Apr-12 00:10:00.000     103.40448  23.15080 37.19214 150.90   1.76 140.01   1.45   6.6299     17.38 5.30073337582201  27.5425184
 2014-Apr-12 00:15:00.000     103.40489  23.15077 37.19176 153.92   1.76 143.03   1.45   6.6301     17.38 5.30078860902006  27.5422712
 2014-Apr-12 00:20:00.000     103.40529  23.15074 37.19137 156.94   1.76 146.05   1.45   6.6303     17.38 5.30084384172234  27.5420239
 2014-Apr-12 00:25:00.000     103.40570  23.15071 37.19098 159.97   1.76 149.07   1.45   6.6304     17.38 5.30089907392848  27.5417764
 2014-Apr-12 00:30:00.000     103.40611  23.15068 37.19059 162.99   1.76 152.10   1.45   6.6306     17.38 5.30095430563811  27.5415288
 2014-Apr-12 00:35:00.000     103.40651  23.15065 37.19021 166.01   1.76 155.12   1.45   6.6308     17.38 5.30100953685086  27.5412809
 2014-Apr-12 00:40:00.000     103.40692  23.15061 37.18982 169.03   1.76 158.14   1.45   6.6309     17.38 5.30106476756635  27.5410328
 2014-Apr-12 00:45:00.000     103.40733  23.15058 37.18943 172.05   1.76 161.16   1.45   6.6311     17.38 5.30111999778418  27.5407846
 2014-Apr-12 00:50:00.000     103.40773  23.15055 37.18904 175.08   1.76 164.18   1.45   6.6313     17.38 5.30117522750402  27.5405362
 2014-Apr-12 00:55:00.000     103.40814  23.15052 37.18866 178.10   1.76 167.21   1.45   6.6314     17.38 5.30123045672547  27.5402875
 2014-Apr-12 01:00:00.000     103.40855  23.15049 37.18827 181.12   1.76 170.23   1.45   6.6316     17.38 5.30128568544816  27.5400387
 2014-Apr-12 01:05:00.000     103.40895  23.15046 37.18788 184.14   1.76 173.25   1.45   6.6318     17.38 5.30134091367172  27.5397898
 2014-Apr-12 01:10:00.000     103.40936  23.15043 37.18749 187.17   1.76 176.27   1.45   6.6319     17.38 5.30139614139576  27.5395406
 2014-Apr-12 01:15:00.000     103.40977  23.15040 37.18711 190.19   1.76 179.30   1.45   6.6321     17.38 5.30145136861992  27.5392912
 2014-Apr-12 01:20:00.000     103.41017  23.15036 37.18672 193.21   1.76 182.32   1.45   6.6323     17.38 5.30150659534383  27.5390417
 2014-Apr-12 01:25:00.000     103.41058  23.15033 37.18633 196.23   1.76 185.34   1.45   6.6325     17.38 5.30156182156712  27.5387919
 2014-Apr-12 01:30:00.000     103.41099  23.15030 37.18594 199.25   1.76 188.36   1.45   6.6326     17.38 5.30161704728938  27.5385420
 2014-Apr-12 01:35:00.000     103.41139  23.15027 37.18556 202.28   1.76 191.38   1.45   6.6328     17.38 5.30167227251029  27.5382919
 2014-Apr-12 01:40:00.000     103.41180  23.15024 37.18517 205.30   1.76 194.41   1.45   6.6330     17.38 5.30172749722944  27.5380416
 2014-Apr-12 01:45:00.000     103.41221  23.15021 37.18478 208.32   1.76 197.43   1.45   6.6331     17.38 5.30178272144648  27.5377912
 2014-Apr-12 01:50:00.000     103.41261  23.15018 37.18439 211.34   1.76 200.45   1.45   6.6333     17.38 5.30183794516102  27.5375405
 2014-Apr-12 01:55:00.000     103.41302  23.15015 37.18401 214.36   1.76 203.47   1.45   6.6335     17.38 5.30189316837271  27.5372896
 2014-Apr-12 02:00:00.000     103.41343  23.15011 37.18362 217.39   1.76 206.49   1.45   6.6336     17.38 5.30194839108117  27.5370386
 2014-Apr-12 02:05:00.000     103.41384  23.15008 37.18323 220.41   1.76 209.52   1.45   6.6338     17.38 5.30200361328603  27.5367874
 2014-Apr-12 02:10:00.000     103.41424  23.15005 37.18285 223.43   1.76 212.54   1.45   6.6340     17.38 5.30205883498692  27.5365360
 2014-Apr-12 02:15:00.000     103.41465  23.15002 37.18246 226.45   1.76 215.56   1.45   6.6342     17.38 5.30211405618346  27.5362844
 2014-Apr-12 02:20:00.000     103.41506  23.14999 37.18207 229.47   1.76 218.58   1.45   6.6343     17.38 5.30216927687531  27.5360327
 2014-Apr-12 02:25:00.000     103.41546  23.14996 37.18168 232.50   1.76 221.60   1.45   6.6345     17.38 5.30222449706209  27.5357807
 2014-Apr-12 02:30:00.000     103.41587  23.14993 37.18130 235.52   1.76 224.63   1.45   6.6347     17.38 5.30227971674343  27.5355286
 2014-Apr-12 02:35:00.000     103.41628  23.14990 37.18091 238.54   1.76 227.65   1.45   6.6348     17.38 5.30233493591895  27.5352763
 2014-Apr-12 02:40:00.000     103.41669  23.14986 37.18052 241.56   1.76 230.67   1.45   6.6350     17.38 5.30239015458833  27.5350238
 2014-Apr-12 02:45:00.000     103.41709  23.14983 37.18013 244.58   1.76 233.69   1.45   6.6352     17.38 5.30244537275117  27.5347711
 2014-Apr-12 02:50:00.000     103.41750  23.14980 37.17975 247.61   1.76 236.72   1.45   6.6353     17.38 5.30250059040713  27.5345183
 2014-Apr-12 02:55:00.000     103.41791  23.14977 37.17936 250.63   1.76 239.74   1.45   6.6355     17.38 5.30255580755582  27.5342652
 2014-Apr-12 03:00:00.000     103.41831  23.14974 37.17897 253.65   1.76 242.76   1.45   6.6357     17.38 5.30261102419691  27.5340120
 2014-Apr-12 03:05:00.000     103.41872  23.14971 37.17859 256.67   1.76 245.78   1.45   6.6359     17.38 5.30266624033002  27.5337586
 2014-Apr-12 03:10:00.000     103.41913  23.14968 37.17820 259.69   1.76 248.80   1.45   6.6360     17.37 5.30272145595481  27.5335051
 2014-Apr-12 03:15:00.000     103.41954  23.14964 37.17781 262.72   1.76 251.83   1.45   6.6362     17.37 5.30277667107091  27.5332513
 2014-Apr-12 03:20:00.000     103.41994  23.14961 37.17742 265.74   1.76 254.85   1.45   6.6364     17.37 5.30283188567795  27.5329974
 2014-Apr-12 03:25:00.000     103.42035  23.14958 37.17704 268.76   1.76 257.87   1.45   6.6365     17.37 5.30288709977561  27.5327433
 2014-Apr-12 03:30:00.000     103.42076  23.14955 37.17665 271.78   1.76 260.89   1.45   6.6367     17.37 5.30294231336352  27.5324890
 2014-Apr-12 03:35:00.000     103.42117  23.14952 37.17626 274.80   1.76 263.91   1.45   6.6369     17.37 5.30299752644132  27.5322345
 2014-Apr-12 03:40:00.000     103.42158  23.14949 37.17588 277.83   1.76 266.94   1.45   6.6370     17.37 5.30305273900866  27.5319799
 2014-Apr-12 03:45:00.000     103.42198  23.14946 37.17549 280.85   1.76 269.96   1.45   6.6372     17.37 5.30310795106521  27.5317251
 2014-Apr-12 03:50:00.000     103.42239  23.14942 37.17510 283.87   1.76 272.98   1.45   6.6374     17.37 5.30316316261060  27.5314701
 2014-Apr-12 03:55:00.000     103.42280  23.14939 37.17472 286.89   1.76 276.00   1.45   6.6376     17.37 5.30321837364449  27.5312150
 2014-Apr-12 04:00:00.000     103.42321  23.14936 37.17433 289.91   1.76 279.03   1.45   6.6377     17.37 5.30327358416653  27.5309597
 2014-Apr-12 04:05:00.000     103.42361  23.14933 37.17394 292.94   1.76 282.05   1.45   6.6379     17.37 5.30332879417639  27.5307042
 2014-Apr-12 04:10:00.000     103.42402  23.14930 37.17355 295.96   1.76 285.07   1.45   6.6381     17.37 5.30338400367372  27.5304485
 2014-Apr-12 04:15:00.000     103.42443  23.14927 37.17317 298.98   1.76 288.09   1.45   6.6382     17.37 5.30343921265818  27.5301927
 2014-Apr-12 04:20:00.000     103.42484  23.14924 37.17278 302.00   1.76 291.11   1.45   6.6384     17.37 5.30349442112943  27.5299367
