*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 16:03:20 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2018-Jul-15 00:00:00.0000 UT      
Stop  time      : A.D. 2018-Jul-17 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2018-Jul-15 00:00:00.000     220.98861 -14.78022 39.84198 109.37  -3.49  99.22  -3.55  18.3314    -18.59 4.94818807724209  24.7998128
 2018-Jul-15 00:05:00.000     220.98865 -14.78024 39.84158 112.39  -3.49 102.24  -3.55  18.3314    -18.59 4.94823781119033  24.8003745
 2018-Jul-15 00:10:00.000     220.98869 -14.78027 39.84118 115.41  -3.49 105.26  -3.55  18.3314    -18.59 4.94828754626500  24.8009362
 2018-Jul-15 00:15:00.000     220.98873 -14.78030 39.84078 118.44  -3.49 108.28  -3.55  18.3314    -18.59 4.94833728246608  24.8014978
 2018-Jul-15 00:20:00.000     220.98877 -14.78033 39.84038 121.46  -3.49 111.30  -3.55  18.3313    -18.59 4.94838701979349  24.8020595
 2018-Jul-15 00:25:00.000     220.98881 -14.78036 39.83998 124.48  -3.49 114.33  -3.55  18.3313    -18.59 4.94843675824720  24.8026211
 2018-Jul-15 00:30:00.000     220.98885 -14.78038 39.83958 127.50  -3.49 117.35  -3.55  18.3313    -18.59 4.94848649782716  24.8031827
 2018-Jul-15 00:35:00.000     220.98889 -14.78041 39.83918 130.52  -3.49 120.37  -3.55  18.3313    -18.59 4.94853623853326  24.8037442
 2018-Jul-15 00:40:00.000     220.98893 -14.78044 39.83878 133.55  -3.49 123.39  -3.55  18.3313    -18.59 4.94858598036548  24.8043057
 2018-Jul-15 00:45:00.000     220.98897 -14.78047 39.83838 136.57  -3.49 126.42  -3.55  18.3313    -18.59 4.94863572332375  24.8048672
 2018-Jul-15 00:50:00.000     220.98901 -14.78050 39.83798 139.59  -3.49 129.44  -3.55  18.3313    -18.59 4.94868546740800  24.8054287
 2018-Jul-15 00:55:00.000     220.98905 -14.78052 39.83758 142.61  -3.49 132.46  -3.55  18.3313    -18.59 4.94873521261818  24.8059901
 2018-Jul-15 01:00:00.000     220.98909 -14.78055 39.83718 145.64  -3.49 135.48  -3.55  18.3312    -18.59 4.94878495895418  24.8065515
 2018-Jul-15 01:05:00.000     220.98913 -14.78058 39.83678 148.66  -3.49 138.50  -3.55  18.3312    -18.59 4.94883470641595  24.8071128
 2018-Jul-15 01:10:00.000     220.98917 -14.78061 39.83638 151.68  -3.49 141.53  -3.55  18.3312    -18.59 4.94888445500343  24.8076742
 2018-Jul-15 01:15:00.000     220.98921 -14.78064 39.83598 154.70  -3.49 144.55  -3.55  18.3312    -18.59 4.94893420471651  24.8082354
 2018-Jul-15 01:20:00.000     220.98925 -14.78067 39.83558 157.73  -3.49 147.57  -3.55  18.3312    -18.59 4.94898395555516  24.8087967
 2018-Jul-15 01:25:00.000     220.98929 -14.78069 39.83518 160.75  -3.49 150.59  -3.55  18.3312    -18.59 4.94903370751925  24.8093579
 2018-Jul-15 01:30:00.000     220.98933 -14.78072 39.83478 163.77  -3.49 153.61  -3.55  18.3312    -18.59 4.94908346060871  24.8099190
 2018-Jul-15 01:35:00.000     220.98937 -14.78075 39.83438 166.79  -3.49 156.64  -3.55  18.3312    -18.59 4.94913321482345  24.8104801
 2018-Jul-15 01:40:00.000     220.98941 -14.78078 39.83398 169.82  -3.49 159.66  -3.55  18.3311    -18.59 4.94918297016340  24.8110412
 2018-Jul-15 01:45:00.000     220.98945 -14.78081 39.83358 172.84  -3.49 162.68  -3.55  18.3311    -18.59 4.94923272662846  24.8116022
 2018-Jul-15 01:50:00.000     220.98949 -14.78083 39.83317 175.86  -3.49 165.70  -3.55  18.3311    -18.59 4.94928248421853  24.8121631
 2018-Jul-15 01:55:00.000     220.98953 -14.78086 39.83277 178.88  -3.49 168.73  -3.55  18.3311    -18.59 4.94933224293351  24.8127241
 2018-Jul-15 02:00:00.000     220.98957 -14.78089 39.83237 181.91  -3.49 171.75  -3.55  18.3311    -18.59 4.94938200277330  24.8132849
 2018-Jul-15 02:05:00.000     220.98962 -14.78092 39.83197 184.93  -3.49 174.77  -3.55  18.3311    -18.59 4.94943176373781  24.8138457
 2018-Jul-15 02:10:00.000     220.98966 -14.78095 39.83157 187.95  -3.49 177.79  -3.55  18.3311    -18.59 4.94948152582696  24.8144065
 2018-Jul-15 02:15:00.000     220.98970 -14.78098 39.83117 190.97  -3.49 180.81  -3.55  18.3310    -18.59 4.94953128904059  24.8149672
 2018-Jul-15 02:20:00.000     220.98974 -14.78100 39.83077 194.00  -3.49 183.84  -3.55  18.3310    -18.59 4.94958105337861  24.8155279
 2018-Jul-15 02:25:00.000     220.98978 -14.78103 39.83037 197.02  -3.49 186.86  -3.55  18.3310    -18.59 4.94963081884092  24.8160885
 2018-Jul-15 02:30:00.000     220.98982 -14.78106 39.82997 200.04  -3.49 189.88  -3.55  18.3310    -18.59 4.94968058542741  24.8166490
 2018-Jul-15 02:35:00.000     220.98986 -14.78109 39.82957 203.06  -3.49 192.90  -3.55  18.3310    -18.59 4.94973035313796  24.8172095
 2018-Jul-15 02:40:00.000     220.98990 -14.78112 39.82917 206.08  -3.49 195.93  -3.55  18.3310    -18.59 4.94978012197243  24.8177699
 2018-Jul-15 02:45:00.000     220.98994 -14.78115 39.82877 209.11  -3.49 198.95  -3.55  18.3310    -18.59 4.94982989193072  24.8183303
 2018-Jul-15 02:50:00.000     220.98998 -14.78117 39.82837 212.13  -3.49 201.97  -3.55  18.3310    -18.59 4.94987966301269  24.8188906
 2018-Jul-15 02:55:00.000     220.99002 -14.78120 39.82797 215.15  -3.49 204.99  -3.55  18.3309    -18.59 4.94992943521822  24.8194508
 2018-Jul-15 03:00:00.000     220.99007 -14.78123 39.82757 218.17  -3.49 208.01  -3.55  18.3309    -18.59 4.94997920854720  24.8200110
 2018-Jul-15 03:05:00.000     220.99011 -14.78126 39.82717 221.20  -3.49 211.04  -3.55  18.3309    -18.59 4.95002898299946  24.8205711
 2018-Jul-15 03:10:00.000     220.99015 -14.78129 39.82677 224.22  -3.49 214.06  -3.55  18.3309    -18.59 4.95007875857488  24.8211311
 2018-Jul-15 03:15:00.000     220.99019 -14.78132 39.82637 227.24  -3.49 217.08  -3.55  18.3309    -18.59 4.95012853527332  24.8216911
 2018-Jul-15 03:20:00.000     220.99023 -14.78134 39.82597 230.26  -3.49 220.10  -3.55  18.3309    -18.59 4.95017831309465  24.8222510
 2018-Jul-15 03:25:00.000     220.99027 -14.78137 39.82557 233.29  -3.49 223.12  -3.55  18.3309    -18.59 4.95022809203872  24.8228108
 2018-Jul-15 03:30:00.000     220.99031 -14.78140 39.82517 236.31  -3.49 226.15  -3.55  18.3309    -18.59 4.95027787210539  24.8233705
 2018-Jul-15 03:35:00.000     220.99036 -14.78143 39.82476 239.33  -3.49 229.17  -3.55  18.3308    -18.59 4.95032765329450  24.8239302
 2018-Jul-15 03:40:00.000     220.99040 -14.78146 39.82436 242.35  -3.49 232.19  -3.55  18.3308    -18.59 4.95037743560589  24.8244898
 2018-Jul-15 03:45:00.000     220.99044 -14.78149 39.82396 245.38  -3.49 235.21  -3.55  18.3308    -18.59 4.95042721903941  24.8250493
 2018-Jul-15 03:50:00.000     220.99048 -14.78152 39.82356 248.40  -3.49 238.24  -3.55  18.3308    -18.59 4.95047700359492  24.8256088
 2018-Jul-15 03:55:00.000     220.99052 -14.78154 39.82316 251.42  -3.49 241.26  -3.55  18.3308    -18.59 4.95052678927226  24.8261681
 2018-Jul-15 04:00:00.000     220.99056 -14.78157 39.82276 254.44  -3.49 244.28  -3.55  18.3308    -18.59 4.95057657607124  24.8267274
 2018-Jul-15 04:05:00.000     220.99060 -14.78160 39.82236 257.47  -3.49 247.30  -3.55  18.3308    -18.58 4.95062636399170  24.8272866
