*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 15:43:39 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2016-May-24 00:00:00.0000 UT      
Stop  time      : A.D. 2016-May-26 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2016-May-24 00:00:00.000     165.15836   7.76152 38.16292 168.91  -1.75 158.35  -2.13  24.8454    -17.84 5.16589521677153  26.7889761
 2016-May-24 00:05:00.000     165.15850   7.76145 38.16252 171.93  -1.75 161.38  -2.13  24.8454    -17.84 5.16594893939889  26.7892597
 2016-May-24 00:10:00.000     165.15863   7.76138 38.16212 174.95  -1.75 164.40  -2.13  24.8454    -17.83 5.16600266259476  26.7895431
 2016-May-24 00:15:00.000     165.15877   7.76131 38.16173 177.97  -1.75 167.42  -2.13  24.8454    -17.83 5.16605638635896  26.7898265
 2016-May-24 00:20:00.000     165.15890   7.76125 38.16133 180.99  -1.75 170.44  -2.13  24.8455    -17.83 5.16611011069131  26.7901097
 2016-May-24 00:25:00.000     165.15904   7.76118 38.16093 184.02  -1.75 173.46  -2.13  24.8455    -17.83 5.16616383559162  26.7903929
 2016-May-24 00:30:00.000     165.15917   7.76111 38.16054 187.04  -1.75 176.49  -2.13  24.8455    -17.83 5.16621756105967  26.7906760
 2016-May-24 00:35:00.000     165.15931   7.76104 38.16014 190.06  -1.75 179.51  -2.13  24.8455    -17.83 5.16627128709528  26.7909589
 2016-May-24 00:40:00.000     165.15944   7.76097 38.15974 193.08  -1.75 182.53  -2.13  24.8455    -17.83 5.16632501369826  26.7912418
 2016-May-24 00:45:00.000     165.15958   7.76090 38.15935 196.11  -1.75 185.55  -2.13  24.8455    -17.83 5.16637874086839  26.7915246
 2016-May-24 00:50:00.000     165.15971   7.76084 38.15895 199.13  -1.75 188.57  -2.13  24.8455    -17.83 5.16643246860547  26.7918072
 2016-May-24 00:55:00.000     165.15985   7.76077 38.15855 202.15  -1.75 191.60  -2.13  24.8456    -17.83 5.16648619690927  26.7920898
 2016-May-24 01:00:00.000     165.15998   7.76070 38.15816 205.17  -1.75 194.62  -2.13  24.8456    -17.83 5.16653992577960  26.7923722
 2016-May-24 01:05:00.000     165.16012   7.76063 38.15776 208.19  -1.75 197.64  -2.13  24.8456    -17.83 5.16659365521624  26.7926546
 2016-May-24 01:10:00.000     165.16025   7.76056 38.15736 211.22  -1.75 200.66  -2.13  24.8456    -17.83 5.16664738521897  26.7929368
 2016-May-24 01:15:00.000     165.16039   7.76049 38.15697 214.24  -1.75 203.69  -2.13  24.8456    -17.83 5.16670111578755  26.7932189
 2016-May-24 01:20:00.000     165.16052   7.76042 38.15657 217.26  -1.75 206.71  -2.13  24.8456    -17.83 5.16675484692178  26.7935009
 2016-May-24 01:25:00.000     165.16066   7.76035 38.15617 220.28  -1.75 209.73  -2.13  24.8456    -17.83 5.16680857862143  26.7937828
 2016-May-24 01:30:00.000     165.16080   7.76029 38.15577 223.31  -1.75 212.75  -2.13  24.8456    -17.83 5.16686231088624  26.7940646
 2016-May-24 01:35:00.000     165.16093   7.76022 38.15538 226.33  -1.75 215.77  -2.13  24.8457    -17.83 5.16691604371601  26.7943462
 2016-May-24 01:40:00.000     165.16107   7.76015 38.15498 229.35  -1.75 218.80  -2.13  24.8457    -17.83 5.16696977711047  26.7946277
 2016-May-24 01:45:00.000     165.16120   7.76008 38.15458 232.37  -1.75 221.82  -2.13  24.8457    -17.83 5.16702351106941  26.7949092
 2016-May-24 01:50:00.000     165.16134   7.76001 38.15419 235.40  -1.75 224.84  -2.13  24.8457    -17.83 5.16707724559256  26.7951904
 2016-May-24 01:55:00.000     165.16147   7.75994 38.15379 238.42  -1.75 227.86  -2.13  24.8457    -17.83 5.16713098067970  26.7954716
 2016-May-24 02:00:00.000     165.16161   7.75987 38.15339 241.44  -1.75 230.88  -2.13  24.8457    -17.83 5.16718471633055  26.7957526
 2016-May-24 02:05:00.000     165.16174   7.75981 38.15300 244.46  -1.75 233.91  -2.13  24.8457    -17.83 5.16723845254488  26.7960336
 2016-May-24 02:10:00.000     165.16188   7.75974 38.15260 247.48  -1.75 236.93  -2.13  24.8458    -17.83 5.16729218932243  26.7963143
 2016-May-24 02:15:00.000     165.16202   7.75967 38.15220 250.51  -1.75 239.95  -2.13  24.8458    -17.83 5.16734592666293  26.7965950
 2016-May-24 02:20:00.000     165.16215   7.75960 38.15181 253.53  -1.75 242.97  -2.13  24.8458    -17.83 5.16739966456613  26.7968755
 2016-May-24 02:25:00.000     165.16229   7.75953 38.15141 256.55  -1.75 246.00  -2.13  24.8458    -17.83 5.16745340303176  26.7971559
 2016-May-24 02:30:00.000     165.16242   7.75946 38.15101 259.57  -1.75 249.02  -2.13  24.8458    -17.83 5.16750714205956  26.7974362
 2016-May-24 02:35:00.000     165.16256   7.75939 38.15062 262.60  -1.75 252.04  -2.13  24.8458    -17.83 5.16756088164925  26.7977163
 2016-May-24 02:40:00.000     165.16269   7.75932 38.15022 265.62  -1.75 255.06  -2.13  24.8458    -17.83 5.16761462180056  26.7979963
 2016-May-24 02:45:00.000     165.16283   7.75925 38.14982 268.64  -1.75 258.08  -2.13  24.8459    -17.83 5.16766836251321  26.7982761
 2016-May-24 02:50:00.000     165.16297   7.75919 38.14943 271.66  -1.75 261.11  -2.13  24.8459    -17.83 5.16772210378693  26.7985558
 2016-May-24 02:55:00.000     165.16310   7.75912 38.14903 274.68  -1.75 264.13  -2.13  24.8459    -17.83 5.16777584562144  26.7988354
 2016-May-24 03:00:00.000     165.16324   7.75905 38.14863 277.71  -1.75 267.15  -2.13  24.8459    -17.83 5.16782958801643  26.7991148
 2016-May-24 03:05:00.000     165.16337   7.75898 38.14824 280.73  -1.75 270.17  -2.13  24.8459    -17.83 5.16788333097164  26.7993941
 2016-May-24 03:10:00.000     165.16351   7.75891 38.14784 283.75  -1.75 273.20  -2.13  24.8459    -17.83 5.16793707448677  26.7996732
 2016-May-24 03:15:00.000     165.16365   7.75884 38.14744 286.77  -1.75 276.22  -2.13  24.8459    -17.83 5.16799081856153  26.7999522
 2016-May-24 03:20:00.000     165.16378   7.75877 38.14705 289.80  -1.75 279.24  -2.13  24.8460    -17.83 5.16804456319560  26.8002311
 2016-May-24 03:25:00.000     165.16392   7.75870 38.14665 292.82  -1.75 282.26  -2.13  24.8460    -17.83 5.16809830838871  26.8005098
 2016-May-24 03:30:00.000     165.16406   7.75863 38.14625 295.84  -1.75 285.28  -2.13  24.8460    -17.83 5.16815205414056  26.8007883
 2016-May-24 03:35:00.000     165.16419   7.75857 38.14586 298.86  -1.75 288.31  -2.13  24.8460    -17.83 5.16820580045082  26.8010667
 2016-May-24 03:40:00.000     165.16433   7.75850 38.14546 301.89  -1.75 291.33  -2.13  24.8460    -17.83 5.16825954731919  26.8013449
 2016-May-24 03:45:00.000     165.16446   7.75843 38.14506 304.91  -1.75 294.35  -2.13  24.8460    -17.83 5.16831329474538  26.8016230
 2016-May-24 03:50:00.000     165.16460   7.75836 38.14467 307.93  -1.75 297.37  -2.13  24.8460    -17.83 5.16836704272906  26.8019009
 2016-May-24 03:55:00.000     165.16474   7.75829 38.14427 310.95  -1.75 300.39  -2.13  24.8461    -17.83 5.16842079126991  26.8021786
 2016-May-24 04:00:00.000     165.16487   7.75822 38.14387 313.97  -1.75 303.42  -2.13  24.8461    -17.83 5.16847454036761  26.8024562
 2016-May-24 04:05:00.000     165.16501   7.75815 38.14348 317.00  -1.75 306.44  -2.13  24.8461    -17.83 5.16852829002186  26.8027337
 2016-May-24 04:10:00.000     165.16515   7.75808 38.14308 320.02  -1.75 309.46  -2.13  24.8461    -17.83 5.16858204023233  26.8030110
 2016-May-24 04:15:00.000     165.16528   7.75801 38.14268 323.04  -1.75 312.48  -2.13  24.8461    -17.83 5.16863579099868  26.8032881
