*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 15:44:36 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Jun-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Jun-03 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2016-Jun-01 00:00:00.000     165.55279   7.56936 37.26208 292.13  -1.74 281.41  -2.16  24.8858    -17.41 5.29078475075026  27.2010518
 2016-Jun-01 00:05:00.000     165.55299   7.56926 37.26169 295.15  -1.74 284.43  -2.16  24.8858    -17.41 5.29083929954820  27.2011264
 2016-Jun-01 00:10:00.000     165.55320   7.56916 37.26131 298.17  -1.74 287.45  -2.16  24.8858    -17.41 5.29089384849556  27.2012008
 2016-Jun-01 00:15:00.000     165.55341   7.56906 37.26093 301.20  -1.74 290.47  -2.16  24.8858    -17.41 5.29094839759216  27.2012752
 2016-Jun-01 00:20:00.000     165.55361   7.56897 37.26054 304.22  -1.74 293.49  -2.16  24.8859    -17.41 5.29100294683785  27.2013495
 2016-Jun-01 00:25:00.000     165.55382   7.56887 37.26016 307.24  -1.74 296.52  -2.16  24.8859    -17.41 5.29105749623250  27.2014237
 2016-Jun-01 00:30:00.000     165.55403   7.56877 37.25977 310.26  -1.74 299.54  -2.16  24.8859    -17.41 5.29111204577594  27.2014979
 2016-Jun-01 00:35:00.000     165.55424   7.56867 37.25939 313.29  -1.74 302.56  -2.16  24.8859    -17.41 5.29116659546802  27.2015720
 2016-Jun-01 00:40:00.000     165.55444   7.56857 37.25900 316.31  -1.74 305.58  -2.16  24.8860    -17.41 5.29122114530862  27.2016460
 2016-Jun-01 00:45:00.000     165.55465   7.56847 37.25862 319.33  -1.74 308.61  -2.16  24.8860    -17.41 5.29127569529758  27.2017200
 2016-Jun-01 00:50:00.000     165.55486   7.56838 37.25824 322.35  -1.74 311.63  -2.16  24.8860    -17.41 5.29133024543478  27.2017938
 2016-Jun-01 00:55:00.000     165.55506   7.56828 37.25785 325.37  -1.74 314.65  -2.16  24.8860    -17.41 5.29138479572009  27.2018677
 2016-Jun-01 01:00:00.000     165.55527   7.56818 37.25747 328.40  -1.74 317.67  -2.16  24.8860    -17.41 5.29143934615335  27.2019414
 2016-Jun-01 01:05:00.000     165.55548   7.56808 37.25708 331.42  -1.74 320.69  -2.16  24.8861    -17.41 5.29149389673448  27.2020151
 2016-Jun-01 01:10:00.000     165.55569   7.56798 37.25670 334.44  -1.74 323.72  -2.16  24.8861    -17.41 5.29154844746333  27.2020887
 2016-Jun-01 01:15:00.000     165.55589   7.56789 37.25632 337.46  -1.74 326.74  -2.16  24.8861    -17.41 5.29160299833977  27.2021623
 2016-Jun-01 01:20:00.000     165.55610   7.56779 37.25593 340.48  -1.74 329.76  -2.16  24.8861    -17.41 5.29165754936370  27.2022358
 2016-Jun-01 01:25:00.000     165.55631   7.56769 37.25555 343.51  -1.74 332.78  -2.16  24.8861    -17.41 5.29171210053500  27.2023093
 2016-Jun-01 01:30:00.000     165.55652   7.56759 37.25516 346.53  -1.74 335.80  -2.16  24.8862    -17.41 5.29176665185357  27.2023827
 2016-Jun-01 01:35:00.000     165.55672   7.56749 37.25478 349.55  -1.74 338.83  -2.16  24.8862    -17.41 5.29182120331930  27.2024560
 2016-Jun-01 01:40:00.000     165.55693   7.56739 37.25440 352.57  -1.74 341.85  -2.16  24.8862    -17.41 5.29187575493206  27.2025293
 2016-Jun-01 01:45:00.000     165.55714   7.56730 37.25401 355.60  -1.74 344.87  -2.16  24.8862    -17.41 5.29193030669177  27.2026026
 2016-Jun-01 01:50:00.000     165.55735   7.56720 37.25363 358.62  -1.74 347.89  -2.16  24.8862    -17.41 5.29198485859834  27.2026758
 2016-Jun-01 01:55:00.000     165.55755   7.56710 37.25324   1.64  -1.74 350.92  -2.16  24.8863    -17.41 5.29203941065164  27.2027489
 2016-Jun-01 02:00:00.000     165.55776   7.56700 37.25286   4.66  -1.74 353.94  -2.16  24.8863    -17.41 5.29209396285162  27.2028220
 2016-Jun-01 02:05:00.000     165.55797   7.56690 37.25248   7.68  -1.74 356.96  -2.16  24.8863    -17.41 5.29214851519814  27.2028951
 2016-Jun-01 02:10:00.000     165.55818   7.56680 37.25209  10.71  -1.74 359.98  -2.16  24.8863    -17.41 5.29220306769116  27.2029681
 2016-Jun-01 02:15:00.000     165.55838   7.56670 37.25171  13.73  -1.74   3.00  -2.16  24.8864    -17.41 5.29225762033058  27.2030411
 2016-Jun-01 02:20:00.000     165.55859   7.56661 37.25132  16.75  -1.74   6.03  -2.16  24.8864    -17.41 5.29231217311630  27.2031140
 2016-Jun-01 02:25:00.000     165.55880   7.56651 37.25094  19.77  -1.74   9.05  -2.16  24.8864    -17.41 5.29236672604826  27.2031869
 2016-Jun-01 02:30:00.000     165.55901   7.56641 37.25056  22.80  -1.74  12.07  -2.16  24.8864    -17.41 5.29242127912639  27.2032598
 2016-Jun-01 02:35:00.000     165.55921   7.56631 37.25017  25.82  -1.74  15.09  -2.16  24.8864    -17.41 5.29247583235059  27.2033326
 2016-Jun-01 02:40:00.000     165.55942   7.56621 37.24979  28.84  -1.74  18.12  -2.16  24.8865    -17.41 5.29253038572081  27.2034054
 2016-Jun-01 02:45:00.000     165.55963   7.56611 37.24940  31.86  -1.74  21.14  -2.16  24.8865    -17.41 5.29258493923698  27.2034782
 2016-Jun-01 02:50:00.000     165.55984   7.56602 37.24902  34.88  -1.74  24.16  -2.16  24.8865    -17.41 5.29263949289903  27.2035509
 2016-Jun-01 02:55:00.000     165.56005   7.56592 37.24864  37.91  -1.74  27.18  -2.16  24.8865    -17.41 5.29269404670691  27.2036236
 2016-Jun-01 03:00:00.000     165.56025   7.56582 37.24825  40.93  -1.74  30.20  -2.16  24.8865    -17.41 5.29274860066054  27.2036963
 2016-Jun-01 03:05:00.000     165.56046   7.56572 37.24787  43.95  -1.74  33.23  -2.16  24.8866    -17.41 5.29280315475989  27.2037689
 2016-Jun-01 03:10:00.000     165.56067   7.56562 37.24748  46.97  -1.74  36.25  -2.16  24.8866    -17.41 5.29285770900488  27.2038415
 2016-Jun-01 03:15:00.000     165.56088   7.56552 37.24710  50.00  -1.74  39.27  -2.16  24.8866    -17.41 5.29291226339548  27.2039141
 2016-Jun-01 03:20:00.000     165.56109   7.56542 37.24672  53.02  -1.74  42.29  -2.16  24.8866    -17.41 5.29296681793162  27.2039867
 2016-Jun-01 03:25:00.000     165.56129   7.56533 37.24633  56.04  -1.74  45.31  -2.16  24.8866    -17.41 5.29302137261327  27.2040592
 2016-Jun-01 03:30:00.000     165.56150   7.56523 37.24595  59.06  -1.74  48.34  -2.16  24.8867    -17.41 5.29307592744038  27.2041318
 2016-Jun-01 03:35:00.000     165.56171   7.56513 37.24556  62.08  -1.74  51.36  -2.16  24.8867    -17.41 5.29313048241292  27.2042043
 2016-Jun-01 03:40:00.000     165.56192   7.56503 37.24518  65.11  -1.74  54.38  -2.16  24.8867    -17.41 5.29318503753083  27.2042768
 2016-Jun-01 03:45:00.000     165.56213   7.56493 37.24480  68.13  -1.74  57.40  -2.16  24.8867    -17.41 5.29323959279410  27.2043492
 2016-Jun-01 03:50:00.000     165.56234   7.56483 37.24441  71.15  -1.74  60.43  -2.16  24.8867    -17.41 5.29329414820266  27.2044217
 2016-Jun-01 03:55:00.000     165.56254   7.56473 37.24403  74.17  -1.74  63.45  -2.16  24.8868    -17.41 5.29334870375652  27.2044941
 2016-Jun-01 04:00:00.000     165.56275   7.56463 37.24365  77.20  -1.74  66.47  -2.16  24.8868    -17.41 5.29340325945564  27.2045665
 2016-Jun-01 04:05:00.000     165.56296   7.56454 37.24326  80.22  -1.74  69.49  -2.16  24.8868    -17.41 5.29345781529996  27.2046389
 2016-Jun-01 04:10:00.000     165.56317   7.56444 37.24288  83.24  -1.74  72.51  -2.16  24.8868    -17.41 5.29351237128950  27.2047113
