*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 15:08:26 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2000-Dec-18 00:00:00.0000 UT      
Stop  time      : A.D. 2000-Dec-20 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2000-Dec-18 00:00:00.000      61.71925  20.02123 47.84542  12.95   3.51   8.61   3.34 348.9770     22.33 4.12046994753900  11.3338450
 2000-Dec-18 00:05:00.000      61.71883  20.02117 47.84516  15.98   3.51  11.64   3.34 348.9768     22.33 4.12049267792029  11.3355605
 2000-Dec-18 00:10:00.000      61.71841  20.02111 47.84490  19.00   3.51  14.66   3.34 348.9766     22.33 4.12051541174183  11.3372760
 2000-Dec-18 00:15:00.000      61.71798  20.02104 47.84463  22.02   3.51  17.68   3.34 348.9765     22.33 4.12053814900356  11.3389914
 2000-Dec-18 00:20:00.000      61.71756  20.02098 47.84437  25.05   3.51  20.70   3.34 348.9763     22.33 4.12056088970546  11.3407069
 2000-Dec-18 00:25:00.000      61.71714  20.02091 47.84410  28.07   3.51  23.73   3.34 348.9761     22.33 4.12058363384750  11.3424223
 2000-Dec-18 00:30:00.000      61.71672  20.02085 47.84384  31.09   3.51  26.75   3.34 348.9760     22.33 4.12060638142964  11.3441378
 2000-Dec-18 00:35:00.000      61.71630  20.02079 47.84358  34.12   3.51  29.77   3.34 348.9758     22.33 4.12062913245186  11.3458532
 2000-Dec-18 00:40:00.000      61.71588  20.02072 47.84331  37.14   3.51  32.79   3.34 348.9757     22.33 4.12065188691413  11.3475686
 2000-Dec-18 00:45:00.000      61.71545  20.02066 47.84305  40.16   3.51  35.81   3.34 348.9755     22.33 4.12067464481644  11.3492840
 2000-Dec-18 00:50:00.000      61.71503  20.02059 47.84278  43.18   3.51  38.84   3.34 348.9753     22.33 4.12069740615877  11.3509993
 2000-Dec-18 00:55:00.000      61.71461  20.02053 47.84252  46.21   3.51  41.86   3.34 348.9752     22.33 4.12072017094110  11.3527147
 2000-Dec-18 01:00:00.000      61.71419  20.02047 47.84225  49.23   3.51  44.88   3.34 348.9750     22.33 4.12074293916342  11.3544301
 2000-Dec-18 01:05:00.000      61.71377  20.02040 47.84199  52.25   3.51  47.90   3.34 348.9748     22.33 4.12076571082571  11.3561455
 2000-Dec-18 01:10:00.000      61.71335  20.02034 47.84173  55.28   3.51  50.93   3.34 348.9747     22.33 4.12078848592799  11.3578608
 2000-Dec-18 01:15:00.000      61.71293  20.02027 47.84146  58.30   3.51  53.95   3.34 348.9745     22.33 4.12081126447023  11.3595762
 2000-Dec-18 01:20:00.000      61.71251  20.02021 47.84120  61.32   3.51  56.97   3.34 348.9743     22.33 4.12083404645244  11.3612916
 2000-Dec-18 01:25:00.000      61.71208  20.02015 47.84093  64.35   3.51  59.99   3.34 348.9742     22.33 4.12085683187463  11.3630069
 2000-Dec-18 01:30:00.000      61.71166  20.02008 47.84067  67.37   3.51  63.02   3.34 348.9740     22.33 4.12087962073679  11.3647223
 2000-Dec-18 01:35:00.000      61.71124  20.02002 47.84040  70.39   3.51  66.04   3.34 348.9738     22.33 4.12090241303894  11.3664377
 2000-Dec-18 01:40:00.000      61.71082  20.01995 47.84014  73.41   3.51  69.06   3.34 348.9737     22.33 4.12092520878108  11.3681530
 2000-Dec-18 01:45:00.000      61.71040  20.01989 47.83987  76.44   3.51  72.08   3.34 348.9735     22.33 4.12094800796323  11.3698684
 2000-Dec-18 01:50:00.000      61.70998  20.01983 47.83961  79.46   3.51  75.10   3.34 348.9733     22.33 4.12097081058541  11.3715838
 2000-Dec-18 01:55:00.000      61.70956  20.01976 47.83934  82.48   3.51  78.13   3.34 348.9732     22.33 4.12099361664762  11.3732992
 2000-Dec-18 02:00:00.000      61.70914  20.01970 47.83908  85.51   3.51  81.15   3.34 348.9730     22.33 4.12101642614990  11.3750146
 2000-Dec-18 02:05:00.000      61.70872  20.01964 47.83882  88.53   3.51  84.17   3.34 348.9728     22.33 4.12103923909227  11.3767301
 2000-Dec-18 02:10:00.000      61.70829  20.01957 47.83855  91.55   3.51  87.19   3.34 348.9727     22.33 4.12106205547475  11.3784455
 2000-Dec-18 02:15:00.000      61.70787  20.01951 47.83829  94.58   3.51  90.22   3.34 348.9725     22.33 4.12108487529737  11.3801610
 2000-Dec-18 02:20:00.000      61.70745  20.01944 47.83802  97.60   3.51  93.24   3.34 348.9723     22.33 4.12110769856017  11.3818765
 2000-Dec-18 02:25:00.000      61.70703  20.01938 47.83776 100.62   3.51  96.26   3.34 348.9722     22.33 4.12113052526318  11.3835919
 2000-Dec-18 02:30:00.000      61.70661  20.01932 47.83749 103.64   3.51  99.28   3.34 348.9720     22.33 4.12115335540643  11.3853075
 2000-Dec-18 02:35:00.000      61.70619  20.01925 47.83723 106.67   3.51 102.30   3.34 348.9718     22.32 4.12117618898996  11.3870230
 2000-Dec-18 02:40:00.000      61.70577  20.01919 47.83696 109.69   3.51 105.33   3.34 348.9717     22.32 4.12119902601382  11.3887385
 2000-Dec-18 02:45:00.000      61.70535  20.01912 47.83670 112.71   3.51 108.35   3.34 348.9715     22.32 4.12122186647805  11.3904541
 2000-Dec-18 02:50:00.000      61.70493  20.01906 47.83643 115.74   3.51 111.37   3.34 348.9713     22.32 4.12124471038269  11.3921697
 2000-Dec-18 02:55:00.000      61.70451  20.01900 47.83616 118.76   3.51 114.39   3.34 348.9712     22.32 4.12126755772780  11.3938853
 2000-Dec-18 03:00:00.000      61.70409  20.01893 47.83590 121.78   3.51 117.42   3.34 348.9710     22.32 4.12129040851343  11.3956010
 2000-Dec-18 03:05:00.000      61.70367  20.01887 47.83563 124.81   3.51 120.44   3.34 348.9708     22.32 4.12131326273962  11.3973167
 2000-Dec-18 03:10:00.000      61.70324  20.01880 47.83537 127.83   3.51 123.46   3.34 348.9707     22.32 4.12133612040645  11.3990324
 2000-Dec-18 03:15:00.000      61.70282  20.01874 47.83510 130.85   3.51 126.48   3.34 348.9705     22.32 4.12135898151395  11.4007481
 2000-Dec-18 03:20:00.000      61.70240  20.01868 47.83484 133.87   3.51 129.51   3.34 348.9703     22.32 4.12138184606220  11.4024639
 2000-Dec-18 03:25:00.000      61.70198  20.01861 47.83457 136.90   3.51 132.53   3.34 348.9702     22.32 4.12140471405126  11.4041797
 2000-Dec-18 03:30:00.000      61.70156  20.01855 47.83431 139.92   3.51 135.55   3.34 348.9700     22.32 4.12142758548118  11.4058955
 2000-Dec-18 03:35:00.000      61.70114  20.01849 47.83404 142.94   3.51 138.57   3.34 348.9699     22.32 4.12145046035205  11.4076114
 2000-Dec-18 03:40:00.000      61.70072  20.01842 47.83378 145.97   3.51 141.59   3.34 348.9697     22.32 4.12147333866393  11.4093273
 2000-Dec-18 03:45:00.000      61.70030  20.01836 47.83351 148.99   3.51 144.62   3.34 348.9695     22.32 4.12149622041689  11.4110432
 2000-Dec-18 03:50:00.000      61.69988  20.01829 47.83325 152.01   3.51 147.64   3.34 348.9694     22.32 4.12151910561100  11.4127592
 2000-Dec-18 03:55:00.000      61.69946  20.01823 47.83298 155.04   3.51 150.66   3.34 348.9692     22.32 4.12154199424635  11.4144752
 2000-Dec-18 04:00:00.000      61.69904  20.01817 47.83271 158.06   3.51 153.68   3.34 348.9690     22.32 4.12156488632300  11.4161912
 2000-Dec-18 04:05:00.000      61.69862  20.01810 47.83245 161.08   3.51 156.71   3.34 348.9689     22.32 4.12158778184104  11.4179073
 2000-Dec-18 04:10:00.000      61.69820  20.01804 47.83218 164.10   3.51 159.73   3.34 348.9687     22.32 4.12161068080055  11.4196235
 2000-Dec-18 04:15:00.000      61.69778  20.01797 47.83192 167.13   3.51 162.75   3.34 348.9685     22.32 4.12163358320162  11.4213396
 2000-Dec-18 04:20:00.000      61.69736  20.01791 47.83165 170.15   3.51 165.77   3.34 348.9684     22.32 4.12165648904432  11.4230559
