*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 16:05:02 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2018-Mar-31 00:00:00.0000 UT      
Stop  time      : A.D. 2018-Apr-02 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2018-Mar-31 00:00:00.000     230.15627 -17.11475 42.52383 345.00  -3.87 352.13  -3.56  15.2811    -19.84 4.63612079108044 -19.1719163
 2018-Mar-31 00:05:00.000     230.15604 -17.11468 42.52419 348.02  -3.87 355.15  -3.56  15.2812    -19.84 4.63608234563417 -19.1706201
 2018-Mar-31 00:10:00.000     230.15581 -17.11462 42.52454 351.04  -3.87 358.17  -3.56  15.2813    -19.84 4.63604390278730 -19.1693238
 2018-Mar-31 00:15:00.000     230.15558 -17.11455 42.52489 354.06  -3.87   1.20  -3.56  15.2814    -19.84 4.63600546254011 -19.1680274
 2018-Mar-31 00:20:00.000     230.15535 -17.11449 42.52525 357.09  -3.87   4.22  -3.56  15.2815    -19.84 4.63596702489281 -19.1667309
 2018-Mar-31 00:25:00.000     230.15512 -17.11442 42.52560   0.11  -3.87   7.24  -3.56  15.2815    -19.84 4.63592858984566 -19.1654342
 2018-Mar-31 00:30:00.000     230.15489 -17.11436 42.52595   3.13  -3.87  10.26  -3.56  15.2816    -19.84 4.63589015739889 -19.1641374
 2018-Mar-31 00:35:00.000     230.15466 -17.11429 42.52630   6.16  -3.87  13.29  -3.56  15.2817    -19.84 4.63585172755272 -19.1628406
 2018-Mar-31 00:40:00.000     230.15443 -17.11423 42.52666   9.18  -3.87  16.31  -3.56  15.2818    -19.84 4.63581330030741 -19.1615435
 2018-Mar-31 00:45:00.000     230.15420 -17.11416 42.52701  12.20  -3.87  19.33  -3.56  15.2819    -19.84 4.63577487566316 -19.1602464
 2018-Mar-31 00:50:00.000     230.15397 -17.11410 42.52736  15.23  -3.87  22.35  -3.56  15.2819    -19.84 4.63573645362021 -19.1589492
 2018-Mar-31 00:55:00.000     230.15374 -17.11404 42.52771  18.25  -3.87  25.38  -3.56  15.2820    -19.84 4.63569803417878 -19.1576519
 2018-Mar-31 01:00:00.000     230.15351 -17.11397 42.52807  21.27  -3.87  28.40  -3.56  15.2821    -19.84 4.63565961733909 -19.1563544
 2018-Mar-31 01:05:00.000     230.15327 -17.11391 42.52842  24.30  -3.87  31.42  -3.56  15.2822    -19.84 4.63562120310136 -19.1550569
 2018-Mar-31 01:10:00.000     230.15304 -17.11384 42.52877  27.32  -3.87  34.44  -3.56  15.2823    -19.84 4.63558279146580 -19.1537592
 2018-Mar-31 01:15:00.000     230.15281 -17.11378 42.52912  30.34  -3.87  37.47  -3.56  15.2824    -19.84 4.63554438243263 -19.1524614
 2018-Mar-31 01:20:00.000     230.15258 -17.11371 42.52947  33.37  -3.87  40.49  -3.56  15.2824    -19.84 4.63550597600206 -19.1511635
 2018-Mar-31 01:25:00.000     230.15235 -17.11365 42.52983  36.39  -3.87  43.51  -3.56  15.2825    -19.84 4.63546757217428 -19.1498656
 2018-Mar-31 01:30:00.000     230.15212 -17.11358 42.53018  39.41  -3.87  46.54  -3.56  15.2826    -19.84 4.63542917094951 -19.1485675
 2018-Mar-31 01:35:00.000     230.15189 -17.11352 42.53053  42.43  -3.87  49.56  -3.56  15.2827    -19.84 4.63539077232794 -19.1472693
 2018-Mar-31 01:40:00.000     230.15166 -17.11345 42.53088  45.46  -3.87  52.58  -3.56  15.2828    -19.84 4.63535237630976 -19.1459710
 2018-Mar-31 01:45:00.000     230.15143 -17.11339 42.53124  48.48  -3.87  55.60  -3.56  15.2828    -19.84 4.63531398289520 -19.1446727
 2018-Mar-31 01:50:00.000     230.15120 -17.11333 42.53159  51.50  -3.87  58.63  -3.56  15.2829    -19.84 4.63527559208443 -19.1433742
 2018-Mar-31 01:55:00.000     230.15096 -17.11326 42.53194  54.53  -3.87  61.65  -3.56  15.2830    -19.84 4.63523720387763 -19.1420757
 2018-Mar-31 02:00:00.000     230.15073 -17.11320 42.53229  57.55  -3.87  64.67  -3.56  15.2831    -19.84 4.63519881827501 -19.1407770
 2018-Mar-31 02:05:00.000     230.15050 -17.11313 42.53265  60.57  -3.87  67.69  -3.56  15.2832    -19.84 4.63516043527673 -19.1394783
 2018-Mar-31 02:10:00.000     230.15027 -17.11307 42.53300  63.60  -3.87  70.72  -3.56  15.2833    -19.84 4.63512205488298 -19.1381794
 2018-Mar-31 02:15:00.000     230.15004 -17.11300 42.53335  66.62  -3.87  73.74  -3.56  15.2833    -19.84 4.63508367709394 -19.1368805
 2018-Mar-31 02:20:00.000     230.14981 -17.11294 42.53370  69.64  -3.87  76.76  -3.56  15.2834    -19.84 4.63504530190978 -19.1355815
 2018-Mar-31 02:25:00.000     230.14958 -17.11287 42.53405  72.67  -3.87  79.78  -3.56  15.2835    -19.84 4.63500692933068 -19.1342824
 2018-Mar-31 02:30:00.000     230.14935 -17.11281 42.53441  75.69  -3.87  82.81  -3.56  15.2836    -19.84 4.63496855935680 -19.1329833
 2018-Mar-31 02:35:00.000     230.14912 -17.11274 42.53476  78.71  -3.87  85.83  -3.56  15.2837    -19.84 4.63493019198831 -19.1316840
 2018-Mar-31 02:40:00.000     230.14888 -17.11268 42.53511  81.74  -3.87  88.85  -3.56  15.2837    -19.84 4.63489182722538 -19.1303847
 2018-Mar-31 02:45:00.000     230.14865 -17.11261 42.53546  84.76  -3.87  91.87  -3.56  15.2838    -19.84 4.63485346506816 -19.1290852
 2018-Mar-31 02:50:00.000     230.14842 -17.11255 42.53581  87.78  -3.87  94.90  -3.56  15.2839    -19.84 4.63481510551681 -19.1277857
 2018-Mar-31 02:55:00.000     230.14819 -17.11248 42.53617  90.80  -3.87  97.92  -3.56  15.2840    -19.84 4.63477674857148 -19.1264862
 2018-Mar-31 03:00:00.000     230.14796 -17.11242 42.53652  93.83  -3.87 100.94  -3.56  15.2841    -19.84 4.63473839423233 -19.1251865
 2018-Mar-31 03:05:00.000     230.14773 -17.11235 42.53687  96.85  -3.87 103.96  -3.56  15.2842    -19.84 4.63470004249951 -19.1238868
 2018-Mar-31 03:10:00.000     230.14749 -17.11229 42.53722  99.87  -3.87 106.99  -3.56  15.2842    -19.84 4.63466169337314 -19.1225870
 2018-Mar-31 03:15:00.000     230.14726 -17.11222 42.53757 102.90  -3.87 110.01  -3.56  15.2843    -19.84 4.63462334685341 -19.1212872
 2018-Mar-31 03:20:00.000     230.14703 -17.11216 42.53793 105.92  -3.87 113.03  -3.56  15.2844    -19.84 4.63458500294042 -19.1199872
 2018-Mar-31 03:25:00.000     230.14680 -17.11210 42.53828 108.94  -3.87 116.06  -3.56  15.2845    -19.84 4.63454666163433 -19.1186872
 2018-Mar-31 03:30:00.000     230.14657 -17.11203 42.53863 111.97  -3.87 119.08  -3.56  15.2846    -19.84 4.63450832293526 -19.1173872
 2018-Mar-31 03:35:00.000     230.14634 -17.11197 42.53898 114.99  -3.87 122.10  -3.56  15.2847    -19.84 4.63446998684334 -19.1160871
 2018-Mar-31 03:40:00.000     230.14610 -17.11190 42.53933 118.01  -3.87 125.12  -3.56  15.2847    -19.84 4.63443165335871 -19.1147869
 2018-Mar-31 03:45:00.000     230.14587 -17.11184 42.53969 121.04  -3.87 128.15  -3.56  15.2848    -19.84 4.63439332248149 -19.1134866
 2018-Mar-31 03:50:00.000     230.14564 -17.11177 42.54004 124.06  -3.87 131.17  -3.56  15.2849    -19.84 4.63435499421180 -19.1121863
 2018-Mar-31 03:55:00.000     230.14541 -17.11171 42.54039 127.08  -3.87 134.19  -3.56  15.2850    -19.84 4.63431666854976 -19.1108859
 2018-Mar-31 04:00:00.000     230.14518 -17.11164 42.54074 130.10  -3.87 137.21  -3.56  15.2851    -19.85 4.63427834549548 -19.1095855
