*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 16:10:50 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2018-Sep-06 00:00:00.0000 UT      
Stop  time      : A.D. 2018-Sep-08 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2018-Sep-06 00:00:00.000     225.40160 -16.28493 34.35700 159.29  -3.33 149.55  -3.51  16.9086    -16.04 5.73815002560458  23.9245360
 2018-Sep-06 00:05:00.000     225.40210 -16.28508 34.35672 162.31  -3.33 152.57  -3.51  16.9084    -16.04 5.73819800312528  23.9239552
 2018-Sep-06 00:10:00.000     225.40261 -16.28524 34.35643 165.33  -3.33 155.59  -3.51  16.9083    -16.04 5.73824597948134  23.9233745
 2018-Sep-06 00:15:00.000     225.40312 -16.28539 34.35614 168.36  -3.33 158.61  -3.51  16.9081    -16.04 5.73829395467282  23.9227938
 2018-Sep-06 00:20:00.000     225.40362 -16.28554 34.35585 171.38  -3.33 161.63  -3.51  16.9079    -16.04 5.73834192869979  23.9222131
 2018-Sep-06 00:25:00.000     225.40413 -16.28569 34.35557 174.40  -3.33 164.66  -3.51  16.9078    -16.04 5.73838990156237  23.9216325
 2018-Sep-06 00:30:00.000     225.40464 -16.28585 34.35528 177.42  -3.33 167.68  -3.51  16.9076    -16.04 5.73843787326060  23.9210519
 2018-Sep-06 00:35:00.000     225.40514 -16.28600 34.35499 180.44  -3.33 170.70  -3.51  16.9074    -16.04 5.73848584379459  23.9204714
 2018-Sep-06 00:40:00.000     225.40565 -16.28615 34.35470 183.47  -3.33 173.72  -3.51  16.9073    -16.04 5.73853381316441  23.9198909
 2018-Sep-06 00:45:00.000     225.40616 -16.28631 34.35442 186.49  -3.33 176.75  -3.51  16.9071    -16.04 5.73858178137010  23.9193104
 2018-Sep-06 00:50:00.000     225.40666 -16.28646 34.35413 189.51  -3.33 179.77  -3.51  16.9069    -16.04 5.73862974841179  23.9187300
 2018-Sep-06 00:55:00.000     225.40717 -16.28661 34.35384 192.53  -3.33 182.79  -3.51  16.9068    -16.04 5.73867771428951  23.9181496
 2018-Sep-06 01:00:00.000     225.40768 -16.28677 34.35356 195.55  -3.33 185.81  -3.51  16.9066    -16.04 5.73872567900337  23.9175693
 2018-Sep-06 01:05:00.000     225.40819 -16.28692 34.35327 198.58  -3.33 188.83  -3.51  16.9064    -16.04 5.73877364255342  23.9169889
 2018-Sep-06 01:10:00.000     225.40869 -16.28707 34.35298 201.60  -3.33 191.86  -3.51  16.9063    -16.04 5.73882160493971  23.9164087
 2018-Sep-06 01:15:00.000     225.40920 -16.28723 34.35269 204.62  -3.33 194.88  -3.51  16.9061    -16.03 5.73886956616235  23.9158284
 2018-Sep-06 01:20:00.000     225.40971 -16.28738 34.35241 207.64  -3.33 197.90  -3.51  16.9059    -16.03 5.73891752622137  23.9152482
 2018-Sep-06 01:25:00.000     225.41021 -16.28753 34.35212 210.66  -3.33 200.92  -3.51  16.9057    -16.03 5.73896548511686  23.9146680
 2018-Sep-06 01:30:00.000     225.41072 -16.28769 34.35183 213.69  -3.33 203.95  -3.51  16.9056    -16.03 5.73901344284888  23.9140878
 2018-Sep-06 01:35:00.000     225.41123 -16.28784 34.35155 216.71  -3.33 206.97  -3.51  16.9054    -16.03 5.73906139941747  23.9135077
 2018-Sep-06 01:40:00.000     225.41173 -16.28799 34.35126 219.73  -3.33 209.99  -3.51  16.9052    -16.03 5.73910935482272  23.9129276
 2018-Sep-06 01:45:00.000     225.41224 -16.28815 34.35097 222.75  -3.33 213.01  -3.51  16.9051    -16.03 5.73915730906465  23.9123476
 2018-Sep-06 01:50:00.000     225.41275 -16.28830 34.35069 225.77  -3.33 216.03  -3.51  16.9049    -16.03 5.73920526214336  23.9117675
 2018-Sep-06 01:55:00.000     225.41326 -16.28845 34.35040 228.80  -3.33 219.06  -3.51  16.9047    -16.03 5.73925321405889  23.9111875
 2018-Sep-06 02:00:00.000     225.41376 -16.28861 34.35011 231.82  -3.33 222.08  -3.51  16.9046    -16.03 5.73930116481127  23.9106075
 2018-Sep-06 02:05:00.000     225.41427 -16.28876 34.34982 234.84  -3.33 225.10  -3.51  16.9044    -16.03 5.73934911440059  23.9100276
 2018-Sep-06 02:10:00.000     225.41478 -16.28891 34.34954 237.86  -3.33 228.12  -3.51  16.9042    -16.03 5.73939706282686  23.9094476
 2018-Sep-06 02:15:00.000     225.41528 -16.28907 34.34925 240.88  -3.33 231.14  -3.51  16.9041    -16.03 5.73944501009017  23.9088677
 2018-Sep-06 02:20:00.000     225.41579 -16.28922 34.34896 243.90  -3.33 234.17  -3.51  16.9039    -16.03 5.73949295619054  23.9082878
 2018-Sep-06 02:25:00.000     225.41630 -16.28937 34.34868 246.93  -3.33 237.19  -3.51  16.9037    -16.03 5.73954090112800  23.9077080
 2018-Sep-06 02:30:00.000     225.41681 -16.28953 34.34839 249.95  -3.33 240.21  -3.51  16.9036    -16.03 5.73958884490264  23.9071281
 2018-Sep-06 02:35:00.000     225.41731 -16.28968 34.34810 252.97  -3.33 243.23  -3.51  16.9034    -16.03 5.73963678751444  23.9065483
 2018-Sep-06 02:40:00.000     225.41782 -16.28983 34.34782 255.99  -3.33 246.26  -3.51  16.9032    -16.03 5.73968472896349  23.9059685
 2018-Sep-06 02:45:00.000     225.41833 -16.28999 34.34753 259.01  -3.33 249.28  -3.51  16.9030    -16.03 5.73973266924982  23.9053887
 2018-Sep-06 02:50:00.000     225.41884 -16.29014 34.34724 262.04  -3.33 252.30  -3.51  16.9029    -16.03 5.73978060837342  23.9048089
 2018-Sep-06 02:55:00.000     225.41934 -16.29029 34.34696 265.06  -3.33 255.32  -3.51  16.9027    -16.03 5.73982854633438  23.9042292
 2018-Sep-06 03:00:00.000     225.41985 -16.29045 34.34667 268.08  -3.33 258.34  -3.51  16.9025    -16.03 5.73987648313268  23.9036494
 2018-Sep-06 03:05:00.000     225.42036 -16.29060 34.34638 271.10  -3.33 261.37  -3.51  16.9024    -16.03 5.73992441876840  23.9030697
 2018-Sep-06 03:10:00.000     225.42087 -16.29075 34.34609 274.12  -3.33 264.39  -3.51  16.9022    -16.03 5.73997235324153  23.9024900
 2018-Sep-06 03:15:00.000     225.42137 -16.29091 34.34581 277.15  -3.33 267.41  -3.51  16.9020    -16.03 5.74002028655209  23.9019103
 2018-Sep-06 03:20:00.000     225.42188 -16.29106 34.34552 280.17  -3.33 270.43  -3.51  16.9019    -16.03 5.74006821870014  23.9013306
 2018-Sep-06 03:25:00.000     225.42239 -16.29121 34.34523 283.19  -3.33 273.46  -3.51  16.9017    -16.03 5.74011614968565  23.9007509
 2018-Sep-06 03:30:00.000     225.42290 -16.29137 34.34495 286.21  -3.33 276.48  -3.51  16.9015    -16.03 5.74016407950868  23.9001712
 2018-Sep-06 03:35:00.000     225.42340 -16.29152 34.34466 289.23  -3.33 279.50  -3.51  16.9014    -16.03 5.74021200816923  23.8995916
 2018-Sep-06 03:40:00.000     225.42391 -16.29167 34.34437 292.26  -3.33 282.52  -3.51  16.9012    -16.03 5.74025993566730  23.8990119
 2018-Sep-06 03:45:00.000     225.42442 -16.29183 34.34409 295.28  -3.33 285.54  -3.51  16.9010    -16.03 5.74030786200293  23.8984322
 2018-Sep-06 03:50:00.000     225.42493 -16.29198 34.34380 298.30  -3.33 288.57  -3.51  16.9008    -16.03 5.74035578717609  23.8978526
 2018-Sep-06 03:55:00.000     225.42543 -16.29213 34.34351 301.32  -3.33 291.59  -3.51  16.9007    -16.03 5.74040371118683  23.8972729
 2018-Sep-06 04:00:00.000     225.42594 -16.29229 34.34323 304.34  -3.33 294.61  -3.51  16.9005    -16.03 5.74045163403513  23.8966933
 2018-Sep-06 04:05:00.000     225.42645 -16.29244 34.34294 307.37  -3.33 297.63  -3.51  16.9003    -16.03 5.74049955572097  23.8961136
