*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 14:54:11 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1999-Nov-25 00:00:00.0000 UT      
Stop  time      : A.D. 1999-Nov-27 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 1999-Nov-25 00:00:00.000      24.76330   8.73863 47.74014 171.89   3.55 165.14   3.46 337.3447     22.28 4.12955679911038  16.6162313
 1999-Nov-25 00:05:00.000      24.76302   8.73854 47.73976 174.91   3.55 168.16   3.46 337.3447     22.28 4.12959012251896  16.6176848
 1999-Nov-25 00:10:00.000      24.76273   8.73845 47.73937 177.94   3.55 171.19   3.46 337.3446     22.28 4.12962344884233  16.6191383
 1999-Nov-25 00:15:00.000      24.76245   8.73836 47.73899 180.96   3.55 174.21   3.46 337.3445     22.28 4.12965677808059  16.6205918
 1999-Nov-25 00:20:00.000      24.76217   8.73826 47.73860 183.98   3.55 177.23   3.46 337.3445     22.28 4.12969011023382  16.6220454
 1999-Nov-25 00:25:00.000      24.76189   8.73817 47.73822 187.01   3.55 180.25   3.46 337.3444     22.28 4.12972344530212  16.6234990
 1999-Nov-25 00:30:00.000      24.76160   8.73808 47.73783 190.03   3.55 183.27   3.46 337.3444     22.28 4.12975678328558  16.6249527
 1999-Nov-25 00:35:00.000      24.76132   8.73799 47.73745 193.05   3.55 186.30   3.46 337.3443     22.28 4.12979012418428  16.6264064
 1999-Nov-25 00:40:00.000      24.76104   8.73790 47.73706 196.07   3.55 189.32   3.46 337.3443     22.28 4.12982346799833  16.6278602
 1999-Nov-25 00:45:00.000      24.76076   8.73780 47.73668 199.10   3.55 192.34   3.46 337.3442     22.28 4.12985681472780  16.6293140
 1999-Nov-25 00:50:00.000      24.76048   8.73771 47.73629 202.12   3.55 195.36   3.46 337.3441     22.28 4.12989016437278  16.6307679
 1999-Nov-25 00:55:00.000      24.76019   8.73762 47.73590 205.14   3.55 198.39   3.46 337.3441     22.28 4.12992351693336  16.6322218
 1999-Nov-25 01:00:00.000      24.75991   8.73753 47.73552 208.16   3.55 201.41   3.46 337.3440     22.28 4.12995687240963  16.6336757
 1999-Nov-25 01:05:00.000      24.75963   8.73744 47.73513 211.19   3.55 204.43   3.46 337.3440     22.28 4.12999023080167  16.6351297
 1999-Nov-25 01:10:00.000      24.75935   8.73734 47.73475 214.21   3.55 207.45   3.46 337.3439     22.28 4.13002359210956  16.6365837
 1999-Nov-25 01:15:00.000      24.75907   8.73725 47.73436 217.23   3.55 210.47   3.46 337.3438     22.28 4.13005695633340  16.6380378
 1999-Nov-25 01:20:00.000      24.75878   8.73716 47.73398 220.26   3.55 213.50   3.46 337.3438     22.28 4.13009032347326  16.6394919
 1999-Nov-25 01:25:00.000      24.75850   8.73707 47.73359 223.28   3.55 216.52   3.46 337.3437     22.28 4.13012369352922  16.6409460
 1999-Nov-25 01:30:00.000      24.75822   8.73698 47.73321 226.30   3.55 219.54   3.46 337.3437     22.28 4.13015706650137  16.6424002
 1999-Nov-25 01:35:00.000      24.75794   8.73688 47.73282 229.32   3.55 222.56   3.46 337.3436     22.28 4.13019044238978  16.6438545
 1999-Nov-25 01:40:00.000      24.75766   8.73679 47.73243 232.35   3.55 225.59   3.46 337.3435     22.28 4.13022382119453  16.6453087
 1999-Nov-25 01:45:00.000      24.75737   8.73670 47.73205 235.37   3.55 228.61   3.46 337.3435     22.27 4.13025720291571  16.6467630
 1999-Nov-25 01:50:00.000      24.75709   8.73661 47.73166 238.39   3.55 231.63   3.46 337.3434     22.27 4.13029058755338  16.6482174
 1999-Nov-25 01:55:00.000      24.75681   8.73652 47.73128 241.42   3.55 234.65   3.46 337.3434     22.27 4.13032397510762  16.6496718
 1999-Nov-25 02:00:00.000      24.75653   8.73642 47.73089 244.44   3.55 237.67   3.46 337.3433     22.27 4.13035736557852  16.6511262
 1999-Nov-25 02:05:00.000      24.75625   8.73633 47.73050 247.46   3.55 240.70   3.46 337.3433     22.27 4.13039075896613  16.6525806
 1999-Nov-25 02:10:00.000      24.75597   8.73624 47.73012 250.48   3.55 243.72   3.46 337.3432     22.27 4.13042415527053  16.6540351
 1999-Nov-25 02:15:00.000      24.75568   8.73615 47.72973 253.51   3.55 246.74   3.46 337.3431     22.27 4.13045755449179  16.6554896
 1999-Nov-25 02:20:00.000      24.75540   8.73606 47.72935 256.53   3.55 249.76   3.46 337.3431     22.27 4.13049095662999  16.6569442
 1999-Nov-25 02:25:00.000      24.75512   8.73597 47.72896 259.55   3.55 252.79   3.46 337.3430     22.27 4.13052436168518  16.6583988
 1999-Nov-25 02:30:00.000      24.75484   8.73587 47.72857 262.58   3.55 255.81   3.46 337.3430     22.27 4.13055776965743  16.6598534
 1999-Nov-25 02:35:00.000      24.75456   8.73578 47.72819 265.60   3.55 258.83   3.46 337.3429     22.27 4.13059118054682  16.6613081
 1999-Nov-25 02:40:00.000      24.75428   8.73569 47.72780 268.62   3.55 261.85   3.46 337.3428     22.27 4.13062459435339  16.6627628
 1999-Nov-25 02:45:00.000      24.75400   8.73560 47.72742 271.64   3.55 264.87   3.46 337.3428     22.27 4.13065801107722  16.6642175
 1999-Nov-25 02:50:00.000      24.75371   8.73551 47.72703 274.67   3.55 267.90   3.46 337.3427     22.27 4.13069143071837  16.6656722
 1999-Nov-25 02:55:00.000      24.75343   8.73541 47.72664 277.69   3.55 270.92   3.46 337.3427     22.27 4.13072485327689  16.6671270
 1999-Nov-25 03:00:00.000      24.75315   8.73532 47.72626 280.71   3.55 273.94   3.46 337.3426     22.27 4.13075827875283  16.6685818
 1999-Nov-25 03:05:00.000      24.75287   8.73523 47.72587 283.74   3.55 276.96   3.46 337.3426     22.27 4.13079170714626  16.6700366
 1999-Nov-25 03:10:00.000      24.75259   8.73514 47.72549 286.76   3.55 279.99   3.46 337.3425     22.27 4.13082513845724  16.6714915
 1999-Nov-25 03:15:00.000      24.75231   8.73505 47.72510 289.78   3.55 283.01   3.46 337.3424     22.27 4.13085857268580  16.6729464
 1999-Nov-25 03:20:00.000      24.75203   8.73496 47.72471 292.80   3.55 286.03   3.46 337.3424     22.27 4.13089200983200  16.6744013
 1999-Nov-25 03:25:00.000      24.75175   8.73486 47.72433 295.83   3.55 289.05   3.46 337.3423     22.27 4.13092544989589  16.6758562
 1999-Nov-25 03:30:00.000      24.75146   8.73477 47.72394 298.85   3.55 292.07   3.46 337.3423     22.27 4.13095889287752  16.6773112
 1999-Nov-25 03:35:00.000      24.75118   8.73468 47.72355 301.87   3.55 295.10   3.46 337.3422     22.27 4.13099233877693  16.6787661
 1999-Nov-25 03:40:00.000      24.75090   8.73459 47.72317 304.90   3.55 298.12   3.46 337.3421     22.27 4.13102578759417  16.6802211
 1999-Nov-25 03:45:00.000      24.75062   8.73450 47.72278 307.92   3.55 301.14   3.46 337.3421     22.27 4.13105923932927  16.6816762
 1999-Nov-25 03:50:00.000      24.75034   8.73441 47.72239 310.94   3.55 304.16   3.46 337.3420     22.27 4.13109269398227  16.6831312
 1999-Nov-25 03:55:00.000      24.75006   8.73432 47.72201 313.96   3.55 307.19   3.46 337.3420     22.27 4.13112615155322  16.6845862
 1999-Nov-25 04:00:00.000      24.74978   8.73422 47.72162 316.99   3.55 310.21   3.46 337.3419     22.27 4.13115961204214  16.6860413
 1999-Nov-25 04:05:00.000      24.74950   8.73413 47.72123 320.01   3.55 313.23   3.46 337.3419     22.27 4.13119307544908  16.6874964
 1999-Nov-25 04:10:00.000      24.74922   8.73404 47.72085 323.03   3.55 316.25   3.46 337.3418     22.27 4.13122654177405  16.6889515
 1999-Nov-25 04:15:00.000      24.74894   8.73395 47.72046 326.05   3.55 319.27   3.46 337.3417     22.27 4.13126001101710  16.6904066
 1999-Nov-25 04:20:00.000      24.74866   8.73386 47.72007 329.08   3.55 322.30   3.46 337.3417     22.27 4.13129348317825  16.6918618
