*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 15:47:09 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2017-Feb-28 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Mar-02 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2017-Feb-28 00:00:00.000     201.06060  -7.22635 42.05044 162.58  -3.50 169.67  -3.02  23.3464    -19.62 4.68831268675471 -19.2059250
 2017-Feb-28 00:05:00.000     201.06039  -7.22626 42.05079 165.61  -3.50 172.70  -3.02  23.3464    -19.62 4.68827417317848 -19.2045974
 2017-Feb-28 00:10:00.000     201.06017  -7.22616 42.05114 168.63  -3.50 175.72  -3.02  23.3465    -19.62 4.68823566226471 -19.2032697
 2017-Feb-28 00:15:00.000     201.05996  -7.22606 42.05148 171.65  -3.50 178.74  -3.02  23.3465    -19.63 4.68819715401336 -19.2019420
 2017-Feb-28 00:20:00.000     201.05975  -7.22597 42.05183 174.68  -3.50 181.76  -3.02  23.3466    -19.63 4.68815864842440 -19.2006144
 2017-Feb-28 00:25:00.000     201.05954  -7.22587 42.05217 177.70  -3.50 184.79  -3.02  23.3466    -19.63 4.68812014549784 -19.1992868
 2017-Feb-28 00:30:00.000     201.05933  -7.22577 42.05252 180.72  -3.50 187.81  -3.02  23.3466    -19.63 4.68808164523362 -19.1979592
 2017-Feb-28 00:35:00.000     201.05911  -7.22568 42.05286 183.75  -3.50 190.83  -3.02  23.3467    -19.63 4.68804314763174 -19.1966316
 2017-Feb-28 00:40:00.000     201.05890  -7.22558 42.05321 186.77  -3.50 193.85  -3.02  23.3467    -19.63 4.68800465269215 -19.1953040
 2017-Feb-28 00:45:00.000     201.05869  -7.22548 42.05355 189.79  -3.50 196.88  -3.02  23.3468    -19.63 4.68796616041486 -19.1939764
 2017-Feb-28 00:50:00.000     201.05848  -7.22539 42.05390 192.82  -3.50 199.90  -3.02  23.3468    -19.63 4.68792767079979 -19.1926488
 2017-Feb-28 00:55:00.000     201.05826  -7.22529 42.05424 195.84  -3.50 202.92  -3.02  23.3468    -19.63 4.68788918384695 -19.1913213
 2017-Feb-28 01:00:00.000     201.05805  -7.22519 42.05459 198.86  -3.50 205.94  -3.02  23.3469    -19.63 4.68785069955627 -19.1899938
 2017-Feb-28 01:05:00.000     201.05784  -7.22509 42.05493 201.88  -3.50 208.97  -3.02  23.3469    -19.63 4.68781221792775 -19.1886663
 2017-Feb-28 01:10:00.000     201.05763  -7.22500 42.05528 204.91  -3.50 211.99  -3.02  23.3470    -19.63 4.68777373896133 -19.1873388
 2017-Feb-28 01:15:00.000     201.05741  -7.22490 42.05562 207.93  -3.50 215.01  -3.02  23.3470    -19.63 4.68773526265699 -19.1860113
 2017-Feb-28 01:20:00.000     201.05720  -7.22480 42.05597 210.95  -3.50 218.03  -3.02  23.3470    -19.63 4.68769678901467 -19.1846838
 2017-Feb-28 01:25:00.000     201.05699  -7.22471 42.05631 213.98  -3.50 221.06  -3.02  23.3471    -19.63 4.68765831803436 -19.1833564
 2017-Feb-28 01:30:00.000     201.05678  -7.22461 42.05666 217.00  -3.50 224.08  -3.02  23.3471    -19.63 4.68761984971598 -19.1820290
 2017-Feb-28 01:35:00.000     201.05656  -7.22451 42.05701 220.02  -3.50 227.10  -3.02  23.3472    -19.63 4.68758138405952 -19.1807016
 2017-Feb-28 01:40:00.000     201.05635  -7.22441 42.05735 223.05  -3.50 230.13  -3.02  23.3472    -19.63 4.68754292106491 -19.1793742
 2017-Feb-28 01:45:00.000     201.05614  -7.22432 42.05770 226.07  -3.50 233.15  -3.02  23.3472    -19.63 4.68750446073214 -19.1780469
 2017-Feb-28 01:50:00.000     201.05592  -7.22422 42.05804 229.09  -3.50 236.17  -3.02  23.3473    -19.63 4.68746600306114 -19.1767196
 2017-Feb-28 01:55:00.000     201.05571  -7.22412 42.05839 232.12  -3.50 239.19  -3.02  23.3473    -19.63 4.68742754805185 -19.1753923
 2017-Feb-28 02:00:00.000     201.05550  -7.22403 42.05873 235.14  -3.50 242.22  -3.02  23.3473    -19.63 4.68738909570425 -19.1740650
 2017-Feb-28 02:05:00.000     201.05529  -7.22393 42.05908 238.16  -3.50 245.24  -3.02  23.3474    -19.63 4.68735064601826 -19.1727378
 2017-Feb-28 02:10:00.000     201.05507  -7.22383 42.05942 241.19  -3.50 248.26  -3.02  23.3474    -19.63 4.68731219899387 -19.1714105
 2017-Feb-28 02:15:00.000     201.05486  -7.22373 42.05977 244.21  -3.50 251.28  -3.02  23.3475    -19.63 4.68727375463098 -19.1700834
 2017-Feb-28 02:20:00.000     201.05465  -7.22364 42.06011 247.23  -3.50 254.31  -3.02  23.3475    -19.63 4.68723531292959 -19.1687562
 2017-Feb-28 02:25:00.000     201.05443  -7.22354 42.06046 250.25  -3.50 257.33  -3.02  23.3475    -19.63 4.68719687388960 -19.1674290
 2017-Feb-28 02:30:00.000     201.05422  -7.22344 42.06080 253.28  -3.50 260.35  -3.02  23.3476    -19.63 4.68715843751099 -19.1661019
 2017-Feb-28 02:35:00.000     201.05401  -7.22335 42.06115 256.30  -3.50 263.37  -3.02  23.3476    -19.63 4.68712000379368 -19.1647748
 2017-Feb-28 02:40:00.000     201.05380  -7.22325 42.06149 259.32  -3.50 266.40  -3.02  23.3477    -19.63 4.68708157273763 -19.1634478
 2017-Feb-28 02:45:00.000     201.05358  -7.22315 42.06183 262.35  -3.50 269.42  -3.02  23.3477    -19.63 4.68704314434277 -19.1621207
 2017-Feb-28 02:50:00.000     201.05337  -7.22305 42.06218 265.37  -3.50 272.44  -3.02  23.3477    -19.63 4.68700471860907 -19.1607937
 2017-Feb-28 02:55:00.000     201.05316  -7.22296 42.06252 268.39  -3.50 275.46  -3.02  23.3478    -19.63 4.68696629553643 -19.1594668
 2017-Feb-28 03:00:00.000     201.05294  -7.22286 42.06287 271.42  -3.50 278.49  -3.02  23.3478    -19.63 4.68692787512484 -19.1581398
 2017-Feb-28 03:05:00.000     201.05273  -7.22276 42.06321 274.44  -3.50 281.51  -3.02  23.3479    -19.63 4.68688945737420 -19.1568129
 2017-Feb-28 03:10:00.000     201.05252  -7.22266 42.06356 277.46  -3.50 284.53  -3.02  23.3479    -19.63 4.68685104228447 -19.1554860
 2017-Feb-28 03:15:00.000     201.05230  -7.22257 42.06390 280.49  -3.50 287.55  -3.02  23.3479    -19.63 4.68681262985558 -19.1541592
 2017-Feb-28 03:20:00.000     201.05209  -7.22247 42.06425 283.51  -3.50 290.58  -3.02  23.3480    -19.63 4.68677422008748 -19.1528323
 2017-Feb-28 03:25:00.000     201.05188  -7.22237 42.06459 286.53  -3.50 293.60  -3.02  23.3480    -19.63 4.68673581298011 -19.1515056
 2017-Feb-28 03:30:00.000     201.05166  -7.22228 42.06494 289.56  -3.50 296.62  -3.02  23.3481    -19.63 4.68669740853339 -19.1501788
 2017-Feb-28 03:35:00.000     201.05145  -7.22218 42.06528 292.58  -3.50 299.65  -3.02  23.3481    -19.63 4.68665900674728 -19.1488521
 2017-Feb-28 03:40:00.000     201.05124  -7.22208 42.06563 295.60  -3.50 302.67  -3.02  23.3481    -19.63 4.68662060762168 -19.1475254
 2017-Feb-28 03:45:00.000     201.05102  -7.22198 42.06597 298.62  -3.50 305.69  -3.02  23.3482    -19.63 4.68658221115658 -19.1461987
 2017-Feb-28 03:50:00.000     201.05081  -7.22189 42.06632 301.65  -3.50 308.71  -3.02  23.3482    -19.63 4.68654381735187 -19.1448721
 2017-Feb-28 03:55:00.000     201.05060  -7.22179 42.06666 304.67  -3.50 311.74  -3.02  23.3483    -19.63 4.68650542620753 -19.1435455
 2017-Feb-28 04:00:00.000     201.05038  -7.22169 42.06701 307.69  -3.50 314.76  -3.02  23.3483    -19.63 4.68646703772345 -19.1422189
