*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Dec  3 15:57:52 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2017-Jun-18 16:00:00.0000 UT      
Stop  time      : A.D. 2017-Jun-20 16:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181130.p190221                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-30. PREDICTS-> 2019-FEB-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2017-Jun-18 16:00:00.000     192.57873  -3.91685 38.73916  28.95  -3.02  18.61  -3.26  24.6372    -18.09 5.08905334693801  25.8337235
 2017-Jun-18 16:05:00.000     192.57881  -3.91690 38.73876  31.98  -3.02  21.64  -3.26  24.6372    -18.09 5.08910515409897  25.8341481
 2017-Jun-18 16:10:00.000     192.57889  -3.91695 38.73837  35.00  -3.02  24.66  -3.26  24.6371    -18.09 5.08915696211135  25.8345726
 2017-Jun-18 16:15:00.000     192.57897  -3.91700 38.73797  38.02  -3.02  27.68  -3.26  24.6371    -18.09 5.08920877097518  25.8349972
 2017-Jun-18 16:20:00.000     192.57905  -3.91705 38.73758  41.04  -3.02  30.70  -3.26  24.6371    -18.09 5.08926058069052  25.8354219
 2017-Jun-18 16:25:00.000     192.57913  -3.91710 38.73718  44.07  -3.02  33.73  -3.26  24.6371    -18.09 5.08931239125745  25.8358465
 2017-Jun-18 16:30:00.000     192.57922  -3.91715 38.73679  47.09  -3.02  36.75  -3.26  24.6371    -18.09 5.08936420267603  25.8362712
 2017-Jun-18 16:35:00.000     192.57930  -3.91720 38.73640  50.11  -3.02  39.77  -3.26  24.6371    -18.09 5.08941601494633  25.8366959
 2017-Jun-18 16:40:00.000     192.57938  -3.91725 38.73600  53.13  -3.02  42.79  -3.26  24.6371    -18.09 5.08946782806838  25.8371207
 2017-Jun-18 16:45:00.000     192.57946  -3.91731 38.73561  56.16  -3.02  45.81  -3.26  24.6371    -18.09 5.08951964204226  25.8375455
 2017-Jun-18 16:50:00.000     192.57954  -3.91736 38.73521  59.18  -3.02  48.84  -3.26  24.6371    -18.09 5.08957145686802  25.8379703
 2017-Jun-18 16:55:00.000     192.57962  -3.91741 38.73482  62.20  -3.02  51.86  -3.26  24.6371    -18.09 5.08962327254576  25.8383951
 2017-Jun-18 17:00:00.000     192.57970  -3.91746 38.73442  65.22  -3.02  54.88  -3.26  24.6370    -18.09 5.08967508907548  25.8388200
 2017-Jun-18 17:05:00.000     192.57978  -3.91751 38.73403  68.24  -3.02  57.90  -3.26  24.6370    -18.09 5.08972690645727  25.8392449
 2017-Jun-18 17:10:00.000     192.57986  -3.91756 38.73364  71.27  -3.02  60.92  -3.26  24.6370    -18.09 5.08977872469119  25.8396698
 2017-Jun-18 17:15:00.000     192.57994  -3.91761 38.73324  74.29  -3.02  63.95  -3.26  24.6370    -18.09 5.08983054377730  25.8400948
 2017-Jun-18 17:20:00.000     192.58002  -3.91766 38.73285  77.31  -3.02  66.97  -3.26  24.6370    -18.08 5.08988236371567  25.8405198
 2017-Jun-18 17:25:00.000     192.58010  -3.91771 38.73245  80.33  -3.02  69.99  -3.26  24.6370    -18.08 5.08993418450632  25.8409448
 2017-Jun-18 17:30:00.000     192.58018  -3.91776 38.73206  83.36  -3.02  73.01  -3.26  24.6370    -18.08 5.08998600614933  25.8413698
 2017-Jun-18 17:35:00.000     192.58027  -3.91781 38.73166  86.38  -3.02  76.04  -3.26  24.6370    -18.08 5.09003782864476  25.8417949
 2017-Jun-18 17:40:00.000     192.58035  -3.91786 38.73127  89.40  -3.02  79.06  -3.26  24.6370    -18.08 5.09008965199266  25.8422200
 2017-Jun-18 17:45:00.000     192.58043  -3.91791 38.73088  92.42  -3.02  82.08  -3.26  24.6370    -18.08 5.09014147619310  25.8426451
 2017-Jun-18 17:50:00.000     192.58051  -3.91796 38.73048  95.45  -3.02  85.10  -3.26  24.6369    -18.08 5.09019330124610  25.8430703
 2017-Jun-18 17:55:00.000     192.58059  -3.91801 38.73009  98.47  -3.02  88.12  -3.26  24.6369    -18.08 5.09024512715174  25.8434955
 2017-Jun-18 18:00:00.000     192.58067  -3.91807 38.72969 101.49  -3.02  91.15  -3.26  24.6369    -18.08 5.09029695391007  25.8439207
 2017-Jun-18 18:05:00.000     192.58075  -3.91812 38.72930 104.51  -3.02  94.17  -3.26  24.6369    -18.08 5.09034878152114  25.8443459
 2017-Jun-18 18:10:00.000     192.58083  -3.91817 38.72890 107.54  -3.02  97.19  -3.26  24.6369    -18.08 5.09040060998502  25.8447712
 2017-Jun-18 18:15:00.000     192.58091  -3.91822 38.72851 110.56  -3.02 100.21  -3.26  24.6369    -18.08 5.09045243930172  25.8451965
 2017-Jun-18 18:20:00.000     192.58100  -3.91827 38.72811 113.58  -3.02 103.24  -3.26  24.6369    -18.08 5.09050426947131  25.8456218
 2017-Jun-18 18:25:00.000     192.58108  -3.91832 38.72772 116.60  -3.02 106.26  -3.26  24.6369    -18.08 5.09055610049385  25.8460471
 2017-Jun-18 18:30:00.000     192.58116  -3.91837 38.72733 119.62  -3.02 109.28  -3.26  24.6369    -18.08 5.09060793236939  25.8464725
 2017-Jun-18 18:35:00.000     192.58124  -3.91842 38.72693 122.65  -3.02 112.30  -3.26  24.6369    -18.08 5.09065976509794  25.8468978
 2017-Jun-18 18:40:00.000     192.58132  -3.91847 38.72654 125.67  -3.02 115.32  -3.26  24.6368    -18.08 5.09071159867958  25.8473232
 2017-Jun-18 18:45:00.000     192.58140  -3.91852 38.72614 128.69  -3.02 118.35  -3.26  24.6368    -18.08 5.09076343311434  25.8477487
 2017-Jun-18 18:50:00.000     192.58148  -3.91857 38.72575 131.71  -3.02 121.37  -3.26  24.6368    -18.08 5.09081526840227  25.8481741
 2017-Jun-18 18:55:00.000     192.58157  -3.91862 38.72535 134.74  -3.02 124.39  -3.26  24.6368    -18.08 5.09086710454343  25.8485996
 2017-Jun-18 19:00:00.000     192.58165  -3.91868 38.72496 137.76  -3.02 127.41  -3.26  24.6368    -18.08 5.09091894153782  25.8490251
 2017-Jun-18 19:05:00.000     192.58173  -3.91873 38.72457 140.78  -3.02 130.43  -3.26  24.6368    -18.08 5.09097077938551  25.8494506
 2017-Jun-18 19:10:00.000     192.58181  -3.91878 38.72417 143.80  -3.02 133.46  -3.26  24.6368    -18.08 5.09102261808652  25.8498761
 2017-Jun-18 19:15:00.000     192.58189  -3.91883 38.72378 146.83  -3.02 136.48  -3.26  24.6368    -18.08 5.09107445764091  25.8503016
 2017-Jun-18 19:20:00.000     192.58197  -3.91888 38.72338 149.85  -3.02 139.50  -3.26  24.6368    -18.08 5.09112629804871  25.8507272
 2017-Jun-18 19:25:00.000     192.58205  -3.91893 38.72299 152.87  -3.02 142.52  -3.26  24.6368    -18.08 5.09117813930994  25.8511528
 2017-Jun-18 19:30:00.000     192.58214  -3.91898 38.72259 155.89  -3.02 145.55  -3.26  24.6367    -18.08 5.09122998142464  25.8515784
 2017-Jun-18 19:35:00.000     192.58222  -3.91903 38.72220 158.91  -3.02 148.57  -3.26  24.6367    -18.08 5.09128182439284  25.8520040
 2017-Jun-18 19:40:00.000     192.58230  -3.91908 38.72181 161.94  -3.02 151.59  -3.26  24.6367    -18.08 5.09133366821460  25.8524296
 2017-Jun-18 19:45:00.000     192.58238  -3.91913 38.72141 164.96  -3.02 154.61  -3.26  24.6367    -18.08 5.09138551288991  25.8528552
 2017-Jun-18 19:50:00.000     192.58246  -3.91919 38.72102 167.98  -3.02 157.63  -3.26  24.6367    -18.08 5.09143735841880  25.8532809
 2017-Jun-18 19:55:00.000     192.58255  -3.91924 38.72062 171.00  -3.02 160.66  -3.26  24.6367    -18.08 5.09148920480131  25.8537065
 2017-Jun-18 20:00:00.000     192.58263  -3.91929 38.72023 174.03  -3.02 163.68  -3.26  24.6367    -18.08 5.09154105203747  25.8541322
 2017-Jun-18 20:05:00.000     192.58271  -3.91934 38.71983 177.05  -3.02 166.70  -3.26  24.6367    -18.08 5.09159290012731  25.8545579
