*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 15:48:38 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2017-Aug-06 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Aug-08 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2017-Aug-06 00:00:00.000     196.54251  -5.77138 33.88552 336.83  -2.95 327.20  -3.35  24.0972    -15.82 5.81798999319006  24.0283124
 2017-Aug-06 00:05:00.000     196.54297  -5.77158 33.88524 339.85  -2.95 330.22  -3.35  24.0971    -15.82 5.81803817876238  24.0277255
 2017-Aug-06 00:10:00.000     196.54343  -5.77178 33.88496 342.87  -2.95 333.24  -3.35  24.0970    -15.82 5.81808636315760  24.0271385
 2017-Aug-06 00:15:00.000     196.54389  -5.77198 33.88468 345.89  -2.95 336.27  -3.35  24.0970    -15.82 5.81813454637560  24.0265514
 2017-Aug-06 00:20:00.000     196.54435  -5.77218 33.88440 348.92  -2.95 339.29  -3.35  24.0969    -15.82 5.81818272841617  24.0259642
 2017-Aug-06 00:25:00.000     196.54481  -5.77239 33.88412 351.94  -2.95 342.31  -3.35  24.0968    -15.82 5.81823090927919  24.0253770
 2017-Aug-06 00:30:00.000     196.54527  -5.77259 33.88384 354.96  -2.95 345.33  -3.35  24.0968    -15.82 5.81827908896449  24.0247897
 2017-Aug-06 00:35:00.000     196.54574  -5.77279 33.88356 357.98  -2.95 348.35  -3.35  24.0967    -15.82 5.81832726747188  24.0242023
 2017-Aug-06 00:40:00.000     196.54620  -5.77299 33.88328   1.00  -2.95 351.38  -3.35  24.0966    -15.82 5.81837544480121  24.0236148
 2017-Aug-06 00:45:00.000     196.54666  -5.77319 33.88300   4.03  -2.95 354.40  -3.35  24.0965    -15.82 5.81842362095232  24.0230272
 2017-Aug-06 00:50:00.000     196.54712  -5.77339 33.88272   7.05  -2.95 357.42  -3.35  24.0965    -15.82 5.81847179592500  24.0224396
 2017-Aug-06 00:55:00.000     196.54758  -5.77360 33.88244  10.07  -2.95   0.44  -3.35  24.0964    -15.82 5.81851996971909  24.0218518
 2017-Aug-06 01:00:00.000     196.54804  -5.77380 33.88216  13.09  -2.95   3.47  -3.35  24.0963    -15.82 5.81856814233442  24.0212640
 2017-Aug-06 01:05:00.000     196.54850  -5.77400 33.88188  16.11  -2.95   6.49  -3.35  24.0963    -15.82 5.81861631377081  24.0206761
 2017-Aug-06 01:10:00.000     196.54897  -5.77420 33.88160  19.14  -2.95   9.51  -3.35  24.0962    -15.82 5.81866448402805  24.0200880
 2017-Aug-06 01:15:00.000     196.54943  -5.77440 33.88131  22.16  -2.95  12.53  -3.35  24.0961    -15.82 5.81871265310597  24.0194999
 2017-Aug-06 01:20:00.000     196.54989  -5.77460 33.88103  25.18  -2.95  15.55  -3.35  24.0961    -15.82 5.81876082100439  24.0189117
 2017-Aug-06 01:25:00.000     196.55035  -5.77481 33.88075  28.20  -2.95  18.58  -3.35  24.0960    -15.82 5.81880898772309  24.0183234
 2017-Aug-06 01:30:00.000     196.55081  -5.77501 33.88047  31.22  -2.95  21.60  -3.35  24.0959    -15.82 5.81885715326188  24.0177350
 2017-Aug-06 01:35:00.000     196.55127  -5.77521 33.88019  34.25  -2.95  24.62  -3.35  24.0958    -15.82 5.81890531762056  24.0171465
 2017-Aug-06 01:40:00.000     196.55173  -5.77541 33.87991  37.27  -2.95  27.64  -3.35  24.0958    -15.82 5.81895348079896  24.0165578
 2017-Aug-06 01:45:00.000     196.55220  -5.77561 33.87963  40.29  -2.95  30.67  -3.35  24.0957    -15.82 5.81900164279683  24.0159691
 2017-Aug-06 01:50:00.000     196.55266  -5.77582 33.87935  43.31  -2.95  33.69  -3.35  24.0956    -15.82 5.81904980361399  24.0153803
 2017-Aug-06 01:55:00.000     196.55312  -5.77602 33.87907  46.33  -2.95  36.71  -3.35  24.0956    -15.82 5.81909796325023  24.0147914
 2017-Aug-06 02:00:00.000     196.55358  -5.77622 33.87879  49.36  -2.95  39.73  -3.35  24.0955    -15.82 5.81914612170532  24.0142024
 2017-Aug-06 02:05:00.000     196.55404  -5.77642 33.87851  52.38  -2.95  42.75  -3.35  24.0954    -15.82 5.81919427897906  24.0136132
 2017-Aug-06 02:10:00.000     196.55451  -5.77662 33.87823  55.40  -2.95  45.78  -3.35  24.0954    -15.82 5.81924243507125  24.0130240
 2017-Aug-06 02:15:00.000     196.55497  -5.77682 33.87795  58.42  -2.95  48.80  -3.35  24.0953    -15.82 5.81929058998163  24.0124346
 2017-Aug-06 02:20:00.000     196.55543  -5.77703 33.87767  61.44  -2.95  51.82  -3.35  24.0952    -15.82 5.81933874370999  24.0118451
 2017-Aug-06 02:25:00.000     196.55589  -5.77723 33.87739  64.47  -2.95  54.84  -3.35  24.0951    -15.82 5.81938689625612  24.0112556
 2017-Aug-06 02:30:00.000     196.55635  -5.77743 33.87711  67.49  -2.95  57.86  -3.35  24.0951    -15.82 5.81943504761981  24.0106659
 2017-Aug-06 02:35:00.000     196.55681  -5.77763 33.87683  70.51  -2.95  60.89  -3.35  24.0950    -15.82 5.81948319780078  24.0100761
 2017-Aug-06 02:40:00.000     196.55728  -5.77783 33.87655  73.53  -2.95  63.91  -3.35  24.0949    -15.82 5.81953134679883  24.0094861
 2017-Aug-06 02:45:00.000     196.55774  -5.77804 33.87627  76.55  -2.95  66.93  -3.35  24.0949    -15.82 5.81957949461374  24.0088961
 2017-Aug-06 02:50:00.000     196.55820  -5.77824 33.87599  79.57  -2.95  69.95  -3.35  24.0948    -15.82 5.81962764124523  24.0083059
 2017-Aug-06 02:55:00.000     196.55866  -5.77844 33.87571  82.60  -2.95  72.98  -3.35  24.0947    -15.82 5.81967578669308  24.0077156
 2017-Aug-06 03:00:00.000     196.55912  -5.77864 33.87543  85.62  -2.95  76.00  -3.35  24.0947    -15.82 5.81972393095707  24.0071252
 2017-Aug-06 03:05:00.000     196.55959  -5.77884 33.87515  88.64  -2.95  79.02  -3.35  24.0946    -15.82 5.81977207403692  24.0065347
 2017-Aug-06 03:10:00.000     196.56005  -5.77904 33.87487  91.66  -2.95  82.04  -3.35  24.0945    -15.82 5.81982021593241  24.0059441
 2017-Aug-06 03:15:00.000     196.56051  -5.77925 33.87459  94.68  -2.95  85.06  -3.35  24.0944    -15.82 5.81986835664327  24.0053533
 2017-Aug-06 03:20:00.000     196.56097  -5.77945 33.87431  97.71  -2.95  88.09  -3.35  24.0944    -15.82 5.81991649616929  24.0047624
 2017-Aug-06 03:25:00.000     196.56143  -5.77965 33.87403 100.73  -2.95  91.11  -3.35  24.0943    -15.82 5.81996463451016  24.0041714
 2017-Aug-06 03:30:00.000     196.56190  -5.77985 33.87375 103.75  -2.95  94.13  -3.35  24.0942    -15.82 5.82001277166567  24.0035802
 2017-Aug-06 03:35:00.000     196.56236  -5.78005 33.87347 106.77  -2.95  97.15  -3.35  24.0942    -15.82 5.82006090763555  24.0029889
 2017-Aug-06 03:40:00.000     196.56282  -5.78026 33.87319 109.79  -2.95 100.18  -3.35  24.0941    -15.82 5.82010904241952  24.0023975
 2017-Aug-06 03:45:00.000     196.56328  -5.78046 33.87291 112.82  -2.95 103.20  -3.35  24.0940    -15.82 5.82015717601733  24.0018060
 2017-Aug-06 03:50:00.000     196.56374  -5.78066 33.87263 115.84  -2.95 106.22  -3.35  24.0940    -15.82 5.82020530842875  24.0012143
 2017-Aug-06 03:55:00.000     196.56421  -5.78086 33.87235 118.86  -2.95 109.24  -3.35  24.0939    -15.82 5.82025343965346  24.0006225
 2017-Aug-06 04:00:00.000     196.56467  -5.78106 33.87207 121.88  -2.95 112.26  -3.35  24.0938    -15.82 5.82030156969121  24.0000305
 2017-Aug-06 04:05:00.000     196.56513  -5.78127 33.87179 124.90  -2.95 115.29  -3.35  24.0938    -15.82 5.82034969854173  23.9994384
