*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Nov 14 06:41:52 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2019-May-28 00:00:00.0000 UT      
Stop  time      : A.D. 2019-May-30 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.191113.p200204                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-NOV-13. PREDICTS-> 2020-FEB-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2019-May-28 00:00:00.000     260.15217 -22.51939 45.65769 274.61  -3.16 277.40  -3.06   3.2830    -21.32 4.31790614031902  -7.7385955
 2019-May-28 00:05:00.000     260.15172 -22.51937 45.65786 277.63  -3.16 280.43  -3.06   3.2832    -21.32 4.31789062326200  -7.7368650
 2019-May-28 00:10:00.000     260.15127 -22.51935 45.65802 280.65  -3.16 283.45  -3.06   3.2834    -21.32 4.31787510967536  -7.7351345
 2019-May-28 00:15:00.000     260.15083 -22.51932 45.65819 283.68  -3.16 286.47  -3.06   3.2836    -21.32 4.31785959955924  -7.7334038
 2019-May-28 00:20:00.000     260.15038 -22.51930 45.65835 286.70  -3.16 289.49  -3.06   3.2838    -21.32 4.31784409291376  -7.7316731
 2019-May-28 00:25:00.000     260.14993 -22.51928 45.65851 289.72  -3.16 292.52  -3.06   3.2839    -21.32 4.31782858973909  -7.7299423
 2019-May-28 00:30:00.000     260.14949 -22.51925 45.65868 292.75  -3.16 295.54  -3.06   3.2841    -21.32 4.31781309003536  -7.7282115
 2019-May-28 00:35:00.000     260.14904 -22.51923 45.65884 295.77  -3.16 298.56  -3.06   3.2843    -21.32 4.31779759380269  -7.7264806
 2019-May-28 00:40:00.000     260.14859 -22.51921 45.65900 298.79  -3.16 301.58  -3.06   3.2845    -21.32 4.31778210104123  -7.7247496
 2019-May-28 00:45:00.000     260.14815 -22.51919 45.65917 301.82  -3.16 304.61  -3.06   3.2847    -21.32 4.31776661175110  -7.7230185
 2019-May-28 00:50:00.000     260.14770 -22.51916 45.65933 304.84  -3.16 307.63  -3.06   3.2849    -21.32 4.31775112593242  -7.7212874
 2019-May-28 00:55:00.000     260.14725 -22.51914 45.65950 307.86  -3.16 310.65  -3.06   3.2851    -21.32 4.31773564358534  -7.7195562
 2019-May-28 01:00:00.000     260.14681 -22.51912 45.65966 310.89  -3.16 313.67  -3.06   3.2853    -21.32 4.31772016470995  -7.7178250
 2019-May-28 01:05:00.000     260.14636 -22.51909 45.65982 313.91  -3.16 316.70  -3.06   3.2855    -21.32 4.31770468930638  -7.7160937
 2019-May-28 01:10:00.000     260.14591 -22.51907 45.65999 316.93  -3.16 319.72  -3.06   3.2857    -21.32 4.31768921737475  -7.7143624
 2019-May-28 01:15:00.000     260.14546 -22.51905 45.66015 319.95  -3.16 322.74  -3.06   3.2859    -21.32 4.31767374891516  -7.7126310
 2019-May-28 01:20:00.000     260.14502 -22.51902 45.66031 322.98  -3.16 325.76  -3.06   3.2861    -21.32 4.31765828392773  -7.7108995
 2019-May-28 01:25:00.000     260.14457 -22.51900 45.66048 326.00  -3.16 328.79  -3.06   3.2862    -21.32 4.31764282241256  -7.7091680
 2019-May-28 01:30:00.000     260.14412 -22.51898 45.66064 329.02  -3.16 331.81  -3.06   3.2864    -21.32 4.31762736436975  -7.7074365
 2019-May-28 01:35:00.000     260.14368 -22.51896 45.66080 332.05  -3.16 334.83  -3.06   3.2866    -21.32 4.31761190979941  -7.7057048
 2019-May-28 01:40:00.000     260.14323 -22.51893 45.66097 335.07  -3.16 337.85  -3.06   3.2868    -21.32 4.31759645870163  -7.7039732
 2019-May-28 01:45:00.000     260.14278 -22.51891 45.66113 338.09  -3.16 340.88  -3.06   3.2870    -21.32 4.31758101107650  -7.7022415
 2019-May-28 01:50:00.000     260.14233 -22.51889 45.66129 341.12  -3.16 343.90  -3.06   3.2872    -21.32 4.31756556692413  -7.7005097
 2019-May-28 01:55:00.000     260.14189 -22.51886 45.66146 344.14  -3.16 346.92  -3.06   3.2874    -21.32 4.31755012624459  -7.6987780
 2019-May-28 02:00:00.000     260.14144 -22.51884 45.66162 347.16  -3.16 349.94  -3.06   3.2876    -21.32 4.31753468903796  -7.6970461
 2019-May-28 02:05:00.000     260.14099 -22.51882 45.66178 350.19  -3.16 352.97  -3.06   3.2878    -21.32 4.31751925530435  -7.6953143
 2019-May-28 02:10:00.000     260.14055 -22.51879 45.66195 353.21  -3.16 355.99  -3.06   3.2880    -21.32 4.31750382504382  -7.6935824
 2019-May-28 02:15:00.000     260.14010 -22.51877 45.66211 356.23  -3.16 359.01  -3.06   3.2882    -21.32 4.31748839825644  -7.6918504
 2019-May-28 02:20:00.000     260.13965 -22.51875 45.66227 359.26  -3.16   2.03  -3.06   3.2883    -21.32 4.31747297494230  -7.6901184
 2019-May-28 02:25:00.000     260.13920 -22.51872 45.66244   2.28  -3.16   5.06  -3.06   3.2885    -21.32 4.31745755510146  -7.6883864
 2019-May-28 02:30:00.000     260.13876 -22.51870 45.66260   5.30  -3.16   8.08  -3.06   3.2887    -21.32 4.31744213873399  -7.6866544
 2019-May-28 02:35:00.000     260.13831 -22.51868 45.66276   8.33  -3.16  11.10  -3.06   3.2889    -21.32 4.31742672583996  -7.6849223
 2019-May-28 02:40:00.000     260.13786 -22.51866 45.66293  11.35  -3.16  14.12  -3.06   3.2891    -21.32 4.31741131641942  -7.6831902
 2019-May-28 02:45:00.000     260.13741 -22.51863 45.66309  14.37  -3.16  17.15  -3.06   3.2893    -21.32 4.31739591047244  -7.6814580
 2019-May-28 02:50:00.000     260.13697 -22.51861 45.66325  17.40  -3.16  20.17  -3.06   3.2895    -21.32 4.31738050799908  -7.6797259
 2019-May-28 02:55:00.000     260.13652 -22.51859 45.66341  20.42  -3.16  23.19  -3.06   3.2897    -21.32 4.31736510899938  -7.6779937
 2019-May-28 03:00:00.000     260.13607 -22.51856 45.66358  23.44  -3.16  26.21  -3.06   3.2899    -21.32 4.31734971347339  -7.6762614
 2019-May-28 03:05:00.000     260.13562 -22.51854 45.66374  26.46  -3.16  29.24  -3.06   3.2901    -21.32 4.31733432142116  -7.6745292
 2019-May-28 03:10:00.000     260.13518 -22.51852 45.66390  29.49  -3.16  32.26  -3.06   3.2903    -21.32 4.31731893284275  -7.6727969
 2019-May-28 03:15:00.000     260.13473 -22.51849 45.66407  32.51  -3.16  35.28  -3.06   3.2905    -21.32 4.31730354773817  -7.6710647
 2019-May-28 03:20:00.000     260.13428 -22.51847 45.66423  35.53  -3.16  38.30  -3.06   3.2906    -21.32 4.31728816610749  -7.6693324
 2019-May-28 03:25:00.000     260.13383 -22.51845 45.66439  38.56  -3.16  41.33  -3.06   3.2908    -21.32 4.31727278795072  -7.6676000
 2019-May-28 03:30:00.000     260.13339 -22.51842 45.66455  41.58  -3.16  44.35  -3.06   3.2910    -21.32 4.31725741326790  -7.6658677
 2019-May-28 03:35:00.000     260.13294 -22.51840 45.66472  44.60  -3.16  47.37  -3.06   3.2912    -21.32 4.31724204205907  -7.6641354
 2019-May-28 03:40:00.000     260.13249 -22.51838 45.66488  47.63  -3.16  50.39  -3.06   3.2914    -21.32 4.31722667432425  -7.6624030
 2019-May-28 03:45:00.000     260.13204 -22.51836 45.66504  50.65  -3.16  53.42  -3.06   3.2916    -21.32 4.31721131006345  -7.6606706
 2019-May-28 03:50:00.000     260.13160 -22.51833 45.66520  53.67  -3.16  56.44  -3.06   3.2918    -21.32 4.31719594927671  -7.6589383
 2019-May-28 03:55:00.000     260.13115 -22.51831 45.66537  56.70  -3.16  59.46  -3.06   3.2920    -21.32 4.31718059196405  -7.6572059
 2019-May-28 04:00:00.000     260.13070 -22.51829 45.66553  59.72  -3.16  62.48  -3.06   3.2922    -21.32 4.31716523812546  -7.6554735
 2019-May-28 04:05:00.000     260.13025 -22.51826 45.66569  62.74  -3.16  65.51  -3.06   3.2924    -21.32 4.31714988776097  -7.6537411
 2019-May-28 04:10:00.000     260.12981 -22.51824 45.66585  65.77  -3.16  68.53  -3.06   3.2926    -21.32 4.31713454087059  -7.6520087
