*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 15:16:00 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2007-Feb-08 00:00:00.0000 UT      
Stop  time      : A.D. 2007-Feb-10 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2007-Feb-08 00:00:00.000     253.81241 -21.90011 34.47668 145.72  -3.31 155.24  -3.39   6.0496    -16.09 5.71823110476062 -25.3305543
 2007-Feb-08 00:05:00.000     253.81297 -21.90017 34.47699 148.74  -3.31 158.26  -3.39   6.0493    -16.09 5.71818030710807 -25.3311871
 2007-Feb-08 00:10:00.000     253.81354 -21.90023 34.47729 151.76  -3.31 161.29  -3.39   6.0491    -16.09 5.71812950818660 -25.3318198
 2007-Feb-08 00:15:00.000     253.81410 -21.90028 34.47760 154.79  -3.31 164.31  -3.39   6.0489    -16.09 5.71807870799655 -25.3324523
 2007-Feb-08 00:20:00.000     253.81467 -21.90034 34.47791 157.81  -3.31 167.33  -3.39   6.0486    -16.09 5.71802790653819 -25.3330847
 2007-Feb-08 00:25:00.000     253.81523 -21.90040 34.47821 160.83  -3.31 170.35  -3.39   6.0484    -16.09 5.71797710381184 -25.3337169
 2007-Feb-08 00:30:00.000     253.81580 -21.90045 34.47852 163.85  -3.31 173.38  -3.39   6.0481    -16.09 5.71792629981781 -25.3343490
 2007-Feb-08 00:35:00.000     253.81636 -21.90051 34.47883 166.88  -3.31 176.40  -3.39   6.0479    -16.09 5.71787549455640 -25.3349809
 2007-Feb-08 00:40:00.000     253.81692 -21.90057 34.47913 169.90  -3.31 179.42  -3.39   6.0477    -16.09 5.71782468802791 -25.3356127
 2007-Feb-08 00:45:00.000     253.81749 -21.90063 34.47944 172.92  -3.31 182.45  -3.39   6.0474    -16.09 5.71777388023263 -25.3362443
 2007-Feb-08 00:50:00.000     253.81805 -21.90068 34.47975 175.94  -3.31 185.47  -3.39   6.0472    -16.09 5.71772307117087 -25.3368758
 2007-Feb-08 00:55:00.000     253.81862 -21.90074 34.48005 178.97  -3.31 188.49  -3.39   6.0470    -16.09 5.71767226084293 -25.3375071
 2007-Feb-08 01:00:00.000     253.81918 -21.90080 34.48036 181.99  -3.31 191.51  -3.39   6.0467    -16.09 5.71762144924908 -25.3381383
 2007-Feb-08 01:05:00.000     253.81974 -21.90085 34.48066 185.01  -3.31 194.54  -3.39   6.0465    -16.09 5.71757063638963 -25.3387694
 2007-Feb-08 01:10:00.000     253.82031 -21.90091 34.48097 188.03  -3.31 197.56  -3.39   6.0463    -16.10 5.71751982226486 -25.3394003
 2007-Feb-08 01:15:00.000     253.82087 -21.90097 34.48128 191.06  -3.31 200.58  -3.39   6.0460    -16.10 5.71746900687506 -25.3400310
 2007-Feb-08 01:20:00.000     253.82144 -21.90103 34.48158 194.08  -3.31 203.60  -3.39   6.0458    -16.10 5.71741819022052 -25.3406616
 2007-Feb-08 01:25:00.000     253.82200 -21.90108 34.48189 197.10  -3.31 206.63  -3.39   6.0455    -16.10 5.71736737230152 -25.3412921
 2007-Feb-08 01:30:00.000     253.82256 -21.90114 34.48220 200.12  -3.31 209.65  -3.39   6.0453    -16.10 5.71731655311834 -25.3419224
 2007-Feb-08 01:35:00.000     253.82313 -21.90120 34.48250 203.15  -3.31 212.67  -3.39   6.0451    -16.10 5.71726573267126 -25.3425526
 2007-Feb-08 01:40:00.000     253.82369 -21.90125 34.48281 206.17  -3.31 215.69  -3.39   6.0448    -16.10 5.71721491096056 -25.3431827
 2007-Feb-08 01:45:00.000     253.82426 -21.90131 34.48312 209.19  -3.31 218.72  -3.39   6.0446    -16.10 5.71716408798650 -25.3438126
 2007-Feb-08 01:50:00.000     253.82482 -21.90137 34.48342 212.21  -3.31 221.74  -3.39   6.0444    -16.10 5.71711326374938 -25.3444424
 2007-Feb-08 01:55:00.000     253.82538 -21.90142 34.48373 215.24  -3.31 224.76  -3.39   6.0441    -16.10 5.71706243824945 -25.3450720
 2007-Feb-08 02:00:00.000     253.82595 -21.90148 34.48404 218.26  -3.31 227.79  -3.39   6.0439    -16.10 5.71701161148698 -25.3457016
 2007-Feb-08 02:05:00.000     253.82651 -21.90154 34.48434 221.28  -3.31 230.81  -3.39   6.0436    -16.10 5.71696078346224 -25.3463309
 2007-Feb-08 02:10:00.000     253.82707 -21.90160 34.48465 224.30  -3.31 233.83  -3.39   6.0434    -16.10 5.71690995417549 -25.3469602
 2007-Feb-08 02:15:00.000     253.82764 -21.90165 34.48496 227.33  -3.31 236.85  -3.39   6.0432    -16.10 5.71685912362700 -25.3475893
 2007-Feb-08 02:20:00.000     253.82820 -21.90171 34.48526 230.35  -3.31 239.88  -3.39   6.0429    -16.10 5.71680829181702 -25.3482183
 2007-Feb-08 02:25:00.000     253.82877 -21.90177 34.48557 233.37  -3.31 242.90  -3.39   6.0427    -16.10 5.71675745874581 -25.3488472
 2007-Feb-08 02:30:00.000     253.82933 -21.90182 34.48588 236.39  -3.31 245.92  -3.39   6.0425    -16.10 5.71670662441362 -25.3494759
 2007-Feb-08 02:35:00.000     253.82989 -21.90188 34.48618 239.42  -3.31 248.94  -3.39   6.0422    -16.10 5.71665578882072 -25.3501046
 2007-Feb-08 02:40:00.000     253.83046 -21.90194 34.48649 242.44  -3.31 251.97  -3.39   6.0420    -16.10 5.71660495196733 -25.3507331
 2007-Feb-08 02:45:00.000     253.83102 -21.90199 34.48680 245.46  -3.31 254.99  -3.39   6.0417    -16.10 5.71655411385372 -25.3513614
 2007-Feb-08 02:50:00.000     253.83158 -21.90205 34.48710 248.48  -3.31 258.01  -3.39   6.0415    -16.10 5.71650327448013 -25.3519897
 2007-Feb-08 02:55:00.000     253.83215 -21.90211 34.48741 251.50  -3.31 261.03  -3.39   6.0413    -16.10 5.71645243384680 -25.3526178
 2007-Feb-08 03:00:00.000     253.83271 -21.90217 34.48772 254.53  -3.31 264.06  -3.39   6.0410    -16.10 5.71640159195396 -25.3532458
 2007-Feb-08 03:05:00.000     253.83327 -21.90222 34.48802 257.55  -3.31 267.08  -3.39   6.0408    -16.10 5.71635074880186 -25.3538737
 2007-Feb-08 03:10:00.000     253.83384 -21.90228 34.48833 260.57  -3.31 270.10  -3.39   6.0406    -16.10 5.71629990439073 -25.3545015
 2007-Feb-08 03:15:00.000     253.83440 -21.90234 34.48864 263.59  -3.31 273.13  -3.39   6.0403    -16.10 5.71624905872081 -25.3551291
 2007-Feb-08 03:20:00.000     253.83496 -21.90239 34.48894 266.62  -3.31 276.15  -3.39   6.0401    -16.10 5.71619821179231 -25.3557567
 2007-Feb-08 03:25:00.000     253.83553 -21.90245 34.48925 269.64  -3.31 279.17  -3.39   6.0398    -16.10 5.71614736360547 -25.3563841
 2007-Feb-08 03:30:00.000     253.83609 -21.90251 34.48956 272.66  -3.31 282.19  -3.39   6.0396    -16.10 5.71609651416053 -25.3570115
 2007-Feb-08 03:35:00.000     253.83665 -21.90256 34.48986 275.68  -3.31 285.22  -3.39   6.0394    -16.10 5.71604566345768 -25.3576387
 2007-Feb-08 03:40:00.000     253.83722 -21.90262 34.49017 278.71  -3.31 288.24  -3.39   6.0391    -16.10 5.71599481149716 -25.3582658
 2007-Feb-08 03:45:00.000     253.83778 -21.90268 34.49048 281.73  -3.31 291.26  -3.39   6.0389    -16.10 5.71594395827917 -25.3588928
 2007-Feb-08 03:50:00.000     253.83834 -21.90273 34.49078 284.75  -3.31 294.28  -3.39   6.0387    -16.10 5.71589310380395 -25.3595197
 2007-Feb-08 03:55:00.000     253.83891 -21.90279 34.49109 287.77  -3.31 297.31  -3.39   6.0384    -16.10 5.71584224807169 -25.3601465
 2007-Feb-08 04:00:00.000     253.83947 -21.90285 34.49140 290.80  -3.31 300.33  -3.39   6.0382    -16.10 5.71579139108260 -25.3607731
