*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 15:22:32 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2007-Mar-07 00:00:00.0000 UT      
Stop  time      : A.D. 2007-Mar-09 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2007-Mar-07 00:00:00.000     257.35172 -22.21217 37.22774 249.02  -3.31 259.72  -3.34   4.5511    -17.38 5.29566425416724 -28.1062353
 2007-Mar-07 00:05:00.000     257.35205 -22.21219 37.22814 252.04  -3.31 262.74  -3.34   4.5509    -17.38 5.29560789088591 -28.1062905
 2007-Mar-07 00:10:00.000     257.35238 -22.21222 37.22854 255.06  -3.31 265.76  -3.34   4.5508    -17.38 5.29555152749389 -28.1063457
 2007-Mar-07 00:15:00.000     257.35271 -22.21224 37.22893 258.09  -3.31 268.79  -3.34   4.5507    -17.38 5.29549516399113 -28.1064009
 2007-Mar-07 00:20:00.000     257.35305 -22.21227 37.22933 261.11  -3.31 271.81  -3.34   4.5505    -17.38 5.29543880037759 -28.1064562
 2007-Mar-07 00:25:00.000     257.35338 -22.21229 37.22973 264.13  -3.31 274.83  -3.34   4.5504    -17.38 5.29538243665323 -28.1065114
 2007-Mar-07 00:30:00.000     257.35371 -22.21232 37.23012 267.15  -3.31 277.85  -3.34   4.5502    -17.38 5.29532607281802 -28.1065667
 2007-Mar-07 00:35:00.000     257.35405 -22.21234 37.23052 270.18  -3.31 280.88  -3.34   4.5501    -17.38 5.29526970887189 -28.1066221
 2007-Mar-07 00:40:00.000     257.35438 -22.21237 37.23091 273.20  -3.31 283.90  -3.34   4.5499    -17.38 5.29521334481481 -28.1066774
 2007-Mar-07 00:45:00.000     257.35471 -22.21239 37.23131 276.22  -3.31 286.92  -3.34   4.5498    -17.38 5.29515698064673 -28.1067328
 2007-Mar-07 00:50:00.000     257.35504 -22.21242 37.23171 279.24  -3.31 289.94  -3.34   4.5497    -17.38 5.29510061636758 -28.1067882
 2007-Mar-07 00:55:00.000     257.35538 -22.21244 37.23210 282.27  -3.31 292.97  -3.34   4.5495    -17.38 5.29504425197732 -28.1068436
 2007-Mar-07 01:00:00.000     257.35571 -22.21247 37.23250 285.29  -3.31 295.99  -3.34   4.5494    -17.38 5.29498788747589 -28.1068990
 2007-Mar-07 01:05:00.000     257.35604 -22.21249 37.23290 288.31  -3.31 299.01  -3.34   4.5492    -17.38 5.29493152286323 -28.1069545
 2007-Mar-07 01:10:00.000     257.35638 -22.21252 37.23329 291.33  -3.31 302.03  -3.34   4.5491    -17.38 5.29487515813927 -28.1070100
 2007-Mar-07 01:15:00.000     257.35671 -22.21254 37.23369 294.36  -3.31 305.06  -3.34   4.5490    -17.38 5.29481879330396 -28.1070656
 2007-Mar-07 01:20:00.000     257.35704 -22.21257 37.23408 297.38  -3.31 308.08  -3.34   4.5488    -17.38 5.29476242835722 -28.1071212
 2007-Mar-07 01:25:00.000     257.35737 -22.21259 37.23448 300.40  -3.31 311.10  -3.34   4.5487    -17.38 5.29470606329900 -28.1071768
 2007-Mar-07 01:30:00.000     257.35771 -22.21262 37.23488 303.43  -3.31 314.13  -3.34   4.5485    -17.38 5.29464969812921 -28.1072324
 2007-Mar-07 01:35:00.000     257.35804 -22.21264 37.23527 306.45  -3.31 317.15  -3.34   4.5484    -17.38 5.29459333284779 -28.1072881
 2007-Mar-07 01:40:00.000     257.35837 -22.21266 37.23567 309.47  -3.31 320.17  -3.34   4.5482    -17.38 5.29453696745467 -28.1073438
 2007-Mar-07 01:45:00.000     257.35870 -22.21269 37.23607 312.49  -3.31 323.19  -3.34   4.5481    -17.38 5.29448060194976 -28.1073996
 2007-Mar-07 01:50:00.000     257.35903 -22.21271 37.23646 315.52  -3.31 326.22  -3.34   4.5480    -17.38 5.29442423633300 -28.1074554
 2007-Mar-07 01:55:00.000     257.35937 -22.21274 37.23686 318.54  -3.31 329.24  -3.34   4.5478    -17.38 5.29436787060429 -28.1075112
 2007-Mar-07 02:00:00.000     257.35970 -22.21276 37.23726 321.56  -3.31 332.26  -3.34   4.5477    -17.38 5.29431150476356 -28.1075671
 2007-Mar-07 02:05:00.000     257.36003 -22.21279 37.23765 324.58  -3.31 335.28  -3.34   4.5475    -17.38 5.29425513881073 -28.1076231
 2007-Mar-07 02:10:00.000     257.36036 -22.21281 37.23805 327.61  -3.31 338.31  -3.34   4.5474    -17.38 5.29419877274571 -28.1076790
 2007-Mar-07 02:15:00.000     257.36070 -22.21284 37.23845 330.63  -3.31 341.33  -3.34   4.5473    -17.38 5.29414240656842 -28.1077350
 2007-Mar-07 02:20:00.000     257.36103 -22.21286 37.23884 333.65  -3.31 344.35  -3.34   4.5471    -17.38 5.29408604027876 -28.1077911
 2007-Mar-07 02:25:00.000     257.36136 -22.21289 37.23924 336.67  -3.31 347.38  -3.34   4.5470    -17.38 5.29402967387666 -28.1078472
 2007-Mar-07 02:30:00.000     257.36169 -22.21291 37.23964 339.70  -3.31 350.40  -3.34   4.5468    -17.38 5.29397330736200 -28.1079033
 2007-Mar-07 02:35:00.000     257.36202 -22.21294 37.24003 342.72  -3.31 353.42  -3.34   4.5467    -17.38 5.29391694073471 -28.1079595
 2007-Mar-07 02:40:00.000     257.36236 -22.21296 37.24043 345.74  -3.31 356.44  -3.34   4.5466    -17.38 5.29386057399470 -28.1080158
 2007-Mar-07 02:45:00.000     257.36269 -22.21299 37.24082 348.77  -3.31 359.47  -3.34   4.5464    -17.38 5.29380420714185 -28.1080720
 2007-Mar-07 02:50:00.000     257.36302 -22.21301 37.24122 351.79  -3.31   2.49  -3.34   4.5463    -17.38 5.29374784017608 -28.1081284
 2007-Mar-07 02:55:00.000     257.36335 -22.21304 37.24162 354.81  -3.31   5.51  -3.34   4.5461    -17.38 5.29369147309728 -28.1081848
 2007-Mar-07 03:00:00.000     257.36368 -22.21306 37.24201 357.83  -3.31   8.53  -3.34   4.5460    -17.38 5.29363510590537 -28.1082412
 2007-Mar-07 03:05:00.000     257.36402 -22.21308 37.24241   0.86  -3.31  11.56  -3.34   4.5458    -17.38 5.29357873860022 -28.1082977
 2007-Mar-07 03:10:00.000     257.36435 -22.21311 37.24281   3.88  -3.31  14.58  -3.34   4.5457    -17.38 5.29352237118175 -28.1083542
 2007-Mar-07 03:15:00.000     257.36468 -22.21313 37.24320   6.90  -3.31  17.60  -3.34   4.5456    -17.38 5.29346600364985 -28.1084108
 2007-Mar-07 03:20:00.000     257.36501 -22.21316 37.24360   9.92  -3.31  20.63  -3.34   4.5454    -17.38 5.29340963600441 -28.1084675
 2007-Mar-07 03:25:00.000     257.36534 -22.21318 37.24400  12.95  -3.31  23.65  -3.34   4.5453    -17.38 5.29335326824533 -28.1085242
 2007-Mar-07 03:30:00.000     257.36567 -22.21321 37.24439  15.97  -3.31  26.67  -3.34   4.5451    -17.39 5.29329690037249 -28.1085809
 2007-Mar-07 03:35:00.000     257.36601 -22.21323 37.24479  18.99  -3.31  29.69  -3.34   4.5450    -17.39 5.29324053238580 -28.1086377
 2007-Mar-07 03:40:00.000     257.36634 -22.21326 37.24519  22.01  -3.31  32.72  -3.34   4.5449    -17.39 5.29318416428513 -28.1086946
 2007-Mar-07 03:45:00.000     257.36667 -22.21328 37.24558  25.04  -3.31  35.74  -3.34   4.5447    -17.39 5.29312779607039 -28.1087515
 2007-Mar-07 03:50:00.000     257.36700 -22.21331 37.24598  28.06  -3.31  38.76  -3.34   4.5446    -17.39 5.29307142774145 -28.1088085
 2007-Mar-07 03:55:00.000     257.36733 -22.21333 37.24638  31.08  -3.31  41.78  -3.34   4.5444    -17.39 5.29301505929821 -28.1088655
 2007-Mar-07 04:00:00.000     257.36766 -22.21336 37.24677  34.11  -3.31  44.81  -3.34   4.5443    -17.39 5.29295869074054 -28.1089226
